gtdb_genome_representative,accession,ncbi_genbank_assembly_accession,gtdb_taxonomy,gtdb_superkingdom,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_organism_name,ncbi_species_taxid,ncbi_assembly_level,genome_size,gc_count,gc_percentage,ncbi_protein_count,checkm_completeness,checkm_contamination,checkm2_completeness,checkm2_contamination,checkm_marker_count,checkm_marker_set_count,checkm_strain_heterogeneity,contig_count
GCA_029553285.1,GB_GCA_035392185.1,GCA_035392185.1,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix_B;s__Methanothrix_B sp029553285,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanothrix_B,Methanothrix_B sp029553285,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;x__unclassified Methanothrix;s__Methanothrix sp.,Methanothrix sp.,90426,Scaffold,1909915,1049248,54.9685537886071,none,100,0.05,99.83,0.07,228,153,100,72
GCF_002214565.1,RS_GCF_002214565.1,GCA_002214565.1,d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus radiotolerans,Archaea,Methanobacteriota_B,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus radiotolerans,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus radiotolerans,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus radiotolerans,Thermococcus radiotolerans,187880,Complete Genome,1868990,1039115,55.597675750004,1999,100,0,99.9,0.1,299,202,0,1
GCA_963591575.1,GB_GCA_963589625.1,GCA_963589625.1,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp963591575,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanomethylophilus,Methanomethylophilus sp963591575,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__;s__,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;x__unclassified Methanomethylophilaceae;s__Candidatus Methanomethylophilaceae archaeon,Candidatus Methanomethylophilaceae archaeon,2517205,Scaffold,1957855,994778,50.8178389476163,none,98.39,1.61,99.97,1.91,187,124,0,80
GCF_002156965.1,RS_GCF_002156965.1,GCA_002156965.1,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Nitrosopumilus catalinensis,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus catalinensis,d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus Nitrosomarinus;s__Candidatus Nitrosomarinus catalina,d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Candidatus Nitrosomarinus;s__Candidatus Nitrosomarinus catalina,Candidatus Nitrosomarinus catalina,1898749,Complete Genome,1360076,427571,31.4372873280611,1602,100,0,98.88,0.01,145,103,0,1
GCA_028715885.1,GB_GCA_028715885.1,GCA_028715885.1,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanoperedenaceae;g__Methanoperedens;s__Methanoperedens sp028715885,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanoperedenaceae,Methanoperedens,Methanoperedens sp028715885,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;x__unclassified Candidatus Methanoperedens;s__Candidatus Methanoperedens sp.,Candidatus Methanoperedens sp.,2032688,Scaffold,2094252,924928,44.1882863738515,none,99.35,1.31,95.33,1.32,228,153,50,89
GCA_038827615.1,GB_GCA_038835875.1,GCA_038835875.1,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__Thermosphaera;s__Thermosphaera sp038827615,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Desulfurococcaceae,Thermosphaera,Thermosphaera sp038827615,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Thermosphaera;s__,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Thermosphaera;x__unclassified Thermosphaera;s__Thermosphaera sp.,Thermosphaera sp.,2831947,Scaffold,1352636,635390,46.9775732899384,none,96.52,0.03,99.26,1.71,245,158,0,36
GCA_002495685.1,GB_GCA_002495685.1,GCA_002495685.1,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__UBA412;s__UBA412 sp002495685,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,UBA412,UBA412 sp002495685,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;x__unclassified Methanobrevibacter;s__Methanobrevibacter sp. UBA412,Methanobrevibacter sp. UBA412,1915486,Scaffold,1681116,455973,27.1863177946775,0,100,0.8,99.6,0.08,188,125,0,44
GCF_037914945.1,RS_GCF_037914945.1,GCA_037914945.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Haloterrigena;s__Haloterrigena sp037914945,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Haloterrigena,Haloterrigena sp037914945,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Haloterrigena;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Natrialbaceae;g__Haloterrigena;x__unclassified Haloterrigena;s__Haloterrigena sp. KLK7,Haloterrigena sp. KLK7,3132747,Complete Genome,4641606,3027358,65.2222097265472,none,99.36,1.39,99.46,1.21,417,263,28.57,5
GCA_937934305.1,GB_GCA_038831195.1,GCA_038831195.1,d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__Caldarchaeaceae;g__Caldarchaeum;s__Caldarchaeum subterraneum_E,Archaea,Thermoproteota,Nitrososphaeria_A,Caldarchaeales,Caldarchaeaceae,Caldarchaeum,Caldarchaeum subterraneum_E,d__Archaea;p__Nitrososphaerota;c__;o__Candidatus Caldarchaeales;f__Candidatus Caldarchaeaceae;g__Candidatus Caldarchaeum;s__,d__Archaea;x__TACK group;p__Nitrososphaerota;x__Nitrososphaerota incertae sedis;o__Candidatus Caldarchaeales;f__Candidatus Caldarchaeaceae;g__Candidatus Caldarchaeum;x__unclassified Candidatus Caldarchaeum;s__Candidatus Caldarchaeum sp.,Candidatus Caldarchaeum sp.,2972665,Scaffold,1779387,921075,51.8247756271216,none,98.06,0.97,98.31,3,145,103,100,103
GCF_003431325.1,RS_GCF_003431325.1,GCA_003431325.1,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__Acidilobus;s__Acidilobus sp003431325,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Acidilobus,Acidilobus sp003431325,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Acidilobales;f__Acidilobaceae;g__Acidilobus;s__,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Acidilobales;f__Acidilobaceae;g__Acidilobus;x__unclassified Acidilobus;s__Acidilobus sp. 7A,Acidilobus sp. 7A,1577685,Complete Genome,1539049,889230,57.7778875136529,none,100,0,99.94,0.43,245,158,0,1
GCF_900114455.1,RS_GCF_900114455.1,GCA_900114455.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogranum;s__Halogranum rubrum,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halogranum,Halogranum rubrum,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogranum;s__Halogranum rubrum,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Haloferacaceae;g__Halogranum;s__Halogranum rubrum,Halogranum rubrum,553466,Scaffold,4566676,2840431,62.2041317423756,4457,99.38,1.14,99.99,3.45,417,263,0,20
GCA_015063285.1,GB_GCA_015063285.1,GCA_015063285.1,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanoprimaticola;s__Methanoprimaticola sp015063285,Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Methanoprimaticola,Methanoprimaticola sp015063285,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__;f__;g__;s__,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;x__unclassified Thermoplasmata;s__Thermoplasmata archaeon,Thermoplasmata archaeon,1906666,Scaffold,1788091,920153,51.4658332079528,none,95.56,0.81,96.73,0.31,187,124,0,35
GCF_008709555.1,RS_GCF_008709555.1,GCA_008709555.1,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Thermoplasma;s__Thermoplasma sp008709555,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma sp008709555,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Thermoplasma;s__,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmataceae;g__Thermoplasma;x__unclassified Thermoplasma;s__Thermoplasma sp.,Thermoplasma sp.,1973142,Scaffold,1451080,679200,46.833627537511,none,98.74,0,99.8,0.21,186,123,0,60
GCA_023254095.1,GB_GCA_038857575.1,GCA_038857575.1,d__Archaea;p__Thermoproteota;c__Nitrososphaeria_A;o__Caldarchaeales;f__Wolframiiraptoraceae;g__Geocrenenecus;s__Geocrenenecus huangii,Archaea,Thermoproteota,Nitrososphaeria_A,Caldarchaeales,Wolframiiraptoraceae,Geocrenenecus,Geocrenenecus huangii,d__Archaea;p__Nitrososphaerota;c__;o__;f__;g__;s__,d__Archaea;x__TACK group;p__Nitrososphaerota;x__unclassified Nitrososphaerota;s__Nitrososphaerota archaeon,Nitrososphaerota archaeon,2026795,Scaffold,1563395,637266,40.781839753952,none,98.06,0,96.35,0.63,145,103,0,26
GCF_039641995.1,RS_GCF_039641995.1,GCA_039641995.1,d__Archaea;p__Halobacteriota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus acetivorans,Archaea,Halobacteriota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,Geoglobus acetivorans,d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus acetivorans,d__Archaea;p__Euryarchaeota;c__Archaeoglobi;o__Archaeoglobales;f__Archaeoglobaceae;g__Geoglobus;s__Geoglobus acetivorans,Geoglobus acetivorans,565033,Complete Genome,1903522,885946,46.5424618155188,none,99.84,0,99.98,0.33,228,153,0,1
GCA_002506535.1,GB_GCA_002502405.1,GCA_002502405.1,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis harundinacea_B,Archaea,Halobacteriota,Methanosarcinia,Methanotrichales,Methanotrichaceae,Methanocrinis,Methanocrinis harundinacea_B,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix harundinacea,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix harundinacea,Methanothrix harundinacea,301375,Scaffold,2328353,1367243,58.7466963541843,0,98.73,0.88,98.39,0.68,227,152,50,60
GCA_002499445.1,GB_GCA_036749415.1,GCA_036749415.1,d__Archaea;p__Halobacteriota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sp002499445,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina sp002499445,d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__;s__,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;x__unclassified Methanosarcinaceae;s__Methanosarcinaceae archaeon,Methanosarcinaceae archaeon,1945595,Scaffold,3161355,1269433,40.1750452171134,none,95.26,0.33,95.21,0.64,228,153,0,84
GCF_000016605.1,RS_GCF_038876035.1,GCA_038876035.1,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__Metallosphaera sedula,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;s__,d__Archaea;x__TACK group;p__Thermoproteota;c__Thermoprotei;o__Sulfolobales;f__Sulfolobaceae;g__Metallosphaera;x__unclassified Metallosphaera;s__Metallosphaera sp.,Metallosphaera sp.,2020860,Scaffold,2160472,998102,46.2045541554157,none,100,0,99.99,0.74,217,168,0,9
GCA_002494495.1,GB_GCA_002497105.1,GCA_002497105.1,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium_A;s__Methanobacterium_A sp002494495,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium_A,Methanobacterium_A sp002494495,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;x__unclassified Methanobacterium;s__Methanobacterium sp. UBA305,Methanobacterium sp. UBA305,1915433,Scaffold,1820023,675259,37.7328410760296,0,97.52,0,99.11,0.01,188,125,0,155
GCF_008124605.1,RS_GCF_000006805.1,GCA_000006805.1,d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,d__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum,d__Archaea;p__Euryarchaeota;x__Stenosarchaea group;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halobacterium;s__Halobacterium salinarum;x__Halobacterium salinarum NRC-34001;x__Halobacterium salinarum NRC-1,Halobacterium salinarum NRC-1,2242,Complete Genome,2571010,1695157,65.9335047316035,2665,99.42,0,99.88,0.19,359,235,0,3
GCF_034480035.2,RS_GCF_034480035.2,GCA_034480035.2,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__Methanosphaera sp017431845,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera sp017431845,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;s__,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanosphaera;x__unclassified Methanosphaera;s__Methanosphaera sp. ISO3-F5,Methanosphaera sp. ISO3-F5,1452353,Complete Genome,2680162,823597,30.7470982227022,none,96.8,2.4,99.99,1.12,188,125,0,2
GCF_000016525.1,RS_GCF_000151245.1,GCA_000151245.1,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanocatella;s__Methanocatella smithii,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanocatella,Methanocatella smithii,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii;x__Methanobrevibacter smithii DSM 2375,Methanobrevibacter smithii DSM 2375,2173,Scaffold,1713248,533272,31.2794268167861,1660,100,0,99.9,0.11,188,125,0,24
GCA_013538715.1,GB_GCA_038869675.1,GCA_038869675.1,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__Nitrosothermus;s__Nitrosothermus koennekei,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosocaldaceae,Nitrosothermus,Nitrosothermus koennekei,d__Archaea;p__Nitrososphaerota;c__Nitrososphaeria;o__Candidatus Nitrosocaldales;f__Candidatus Nitrosocaldaceae;g__;s__,d__Archaea;x__TACK group;p__Nitrososphaerota;c__Nitrososphaeria;o__Candidatus Nitrosocaldales;f__Candidatus Nitrosocaldaceae;x__unclassified Candidatus Nitrosocaldaceae;s__Candidatus Nitrosocaldaceae archaeon,Candidatus Nitrosocaldaceae archaeon,2838776,Scaffold,1369551,438868,32.0471899889225,none,98.54,0.97,99.32,0.2,145,103,0,20
