Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCF_011074865.1	ASM1107486v2	Brettanomyces nanus		CBS 1945					Annotation submitted by Australian Wine Research Institute	10117252	Complete Genome	12/3/20		4		
GCF_030864355.1	ASM3086435v1	Cutaneotrichosporon cavernicola		HIS019					Annotation submitted by Tokyo University of Agriculture	20237334	Complete Genome	6/24/23		8		
GCA_963989305.1	lodBeiA1	Lodderomyces beijingensis		CBS 14171					"Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics"	15114296	Complete Genome	3/15/24		8		
GCA_029542985.1	ASM2954298v1	Malassezia brasiliensis		CBS 14135					Annotation submitted by Duke University	8000312	Complete Genome	4/3/23		7		
GCA_029542945.1	ASM2954294v1	Malassezia obtusa		CBS 7876					Annotation submitted by Duke University	8169464	Complete Genome	4/3/23		9		
GCA_029542805.1	ASM2954280v1	Malassezia cuniculi		CBS 11721					Annotation submitted by Duke University	7453460	Complete Genome	4/3/23		6		
GCA_029542765.1	ASM2954276v1	Malassezia psittaci		CBS 14136					Annotation submitted by Duke University	8186253	Complete Genome	4/3/23		8		
GCA_029542965.1	ASM2954296v1	Malassezia yamatoensis		CBS 9725					Annotation submitted by Duke University	8264016	Complete Genome	4/3/23		8		
GCA_029542885.1	ASM2954288v1	Malassezia caprae		CBS 10434					Annotation submitted by Duke University	7728824	Complete Genome	4/3/23		8		
GCF_000002765.6	GCA_000002765	Plasmodium falciparum 3D7					3D7		Annotation submitted by Plasmodium falciparum Genome Sequencing Consortium	23292622	Complete Genome	4/7/16		14		
GCF_030704535.1	ASM3070453v1	Vitis vinifera			Pinot Noir 40024				GCF_030704535.1-RS_2023_09	494873210	Complete Genome	8/9/23		19		
GCF_037993035.1	T2T-MFA8v1.0	Macaca fascicularis					582-1	female	GCF_037993035.1-RS_2024_05	3042914375	Complete Genome	4/5/24		21		
GCF_013085055.1	ASM1308505v1	Fusarium oxysporum Fo47		Fo47					Annotation submitted by Xi'an Jiaotong University	50358849	Complete Genome	5/13/20		12		
GCF_022201045.2	DVS_A1.0	Citrus sinensis			Valencia sweet orange				NCBI Citrus sinensis Annotation Release 103	298977511	Complete Genome	2/11/22	JAHMIS01	9		
GCF_019923935.1	NDDB_SH_1	Bubalus bubalis	Murrah				1.60015E+11	female	NCBI Bubalus bubalis Annotation Release 103	2622444281	Complete Genome	9/10/21	VDCB01	25		
GCF_000143535.2	ASM14353v4	Botrytis cinerea B05.10		B05.10					"Annotation submitted by Syngenta Biotechnology, Inc."	42630066	Complete Genome	2/5/15		18		
GCF_030705265.1	ASM3070526v1	Helicoverpa armigera					CAAS_96S		GCF_030705265.1-RS_2024_03	355232002	Complete Genome	8/14/23	JAIQGS01	31		
GCF_031755915.1	ASM3175591v1	Ziziphus jujuba			Dongzao				GCF_031755915.1-RS_2023_10	393332932	Complete Genome	9/20/23		12		
GCF_001417885.1	Kmar_1.0	Kluyveromyces marxianus DMKU3-1042		DMKU3-1042					Annotation submitted by Yamaguchi University	10920159	Complete Genome	1/14/14		8		
GCF_028858775.2	NHGRI_mPanTro3-v2.0_pri	Pan troglodytes					AG18354	male	GCF_028858775.2-RS_2024_02	3177739762	Complete Genome	1/8/24	JAQQLN02	25		
GCF_016906535.1	ASM1690653v1	Rhizoctonia solani		AG-1 IA			XN		Annotation submitted by China Agricultural University	40703773	Complete Genome	2/18/21		16		
GCF_000002725.2	ASM272v2	Leishmania major strain Friedlin		Friedlin					Annotation submitted by Friedlin Consortium	32855089	Complete Genome	2/14/11		36		
GCF_002022765.2	C_virginica-3.0	Crassostrea virginica					RU13XGHG1-28		NCBI Crassostrea virginica Annotation Release 100	684723884	Complete Genome	9/1/17	MWPT03	10		
GCF_900002385.2	GCA_900002385	Plasmodium yoelii		17X					Annotation submitted by WTSI	23043114	Complete Genome	6/4/19		14		
GCF_000002515.2	ASM251v1	Kluyveromyces lactis		NRRL Y-1140					Annotation submitted by Genolevures Consortium	10689156	Complete Genome	7/2/04		6		
GCF_009556855.1	ASM955685v1	Talaromyces marneffei					11CN-20-091		Annotation submitted by Broad Institute	28198338	Complete Genome	11/5/19		8		
GCF_023724105.1	carGib1.2-hapl.c	Carassius gibelio				wild population from Czech Republic	Cgi1373	female	GCF_023724105.1-RS_2023_02	1583334954	Complete Genome	6/16/22	JAJQLC01	50		
GCA_947243795.1	Suva-ZP964	Saccharomyces uvarum		ZP964					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	11715280	Complete Genome	11/1/22		16		
GCF_000091205.1	ASM9120v1	Cyanidioschyzon merolae strain 10D		10D					"Annotation submitted by National Institute of Genetics, Japan"	16546747	Complete Genome	7/11/07		20		
GCF_000687475.1	ASM68747v2	Ustilaginoidea virens		UV-8b					Annotation submitted by China Agricultural University	37060086	Complete Genome	5/20/21		7		
GCA_030272155.1	ASM3027215v1	Tetradesmus obliquus		DOE0152z					Annotation submitted by Los Alamos National Laboratory	104665984	Complete Genome	6/14/23		17		
GCF_026914185.1	ASM2691418v1	Puccinia triticina		Pt15					Annotation submitted by Henan Agricultural University	122823596	Complete Genome	12/15/22		18		
GCF_029281585.2	NHGRI_mGorGor1-v2.0_pri	Gorilla gorilla gorilla					KB3781	male	GCF_029281585.2-RS_2024_02	3545834224	Complete Genome	1/8/24	JARGGP02	25		
GCF_016861625.1	AkawachiiIFO4308_assembly01	Aspergillus luchuensis		IFO 4308					"Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University"	37256495	Complete Genome	1/30/21		8		
GCF_000226095.1	ASM22609v1	Thermothelomyces thermophilus ATCC 42464		ATCC 42464					Annotation submitted by DOE Joint Genome Institute	38744216	Complete Genome	9/16/11		7		
GCF_011074885.1	ASM1107488v2	Brettanomyces bruxellensis		UCD 2041					Annotation submitted by Australian Wine Research Institute	13150648	Complete Genome	10/30/20		9		
GCF_028885625.2	NHGRI_mPonPyg2-v2.0_pri	Pongo pygmaeus					AG05252	male	GCF_028885625.2-RS_2024_02	3220935163	Complete Genome	1/8/24	JAQQLS02	25		
GCF_024364675.1	icAetTumi1.1	Aethina tumida					Nest 87	male	NCBI Aethina tumida Annotation Release 101	259967705	Complete Genome	7/22/22	JALKMD01	8		
GCF_033473495.1	ASM3347349v1	Cercospora beticola					Cb09-40		Annotation submitted by USDA-ARS	36074111	Complete Genome	11/9/23		10		
GCF_003290485.1	ASM329048v1	Malassezia restricta		KCTC 27527					Annotation submitted by Korea Polar Research Institute	7330907	Complete Genome	7/9/18		9		
GCA_003814445.1	ASM381444v1	Epichloe festucae Fl1		Fl1					Annotation submitted by Massey University	34970730	Complete Genome	11/23/18		7		
GCF_022458985.1	CIBA_Mcephalus_1.1	Mugil cephalus					CIBA_MC_2020		NCBI Mugil cephalus Annotation Release 100	634849760	Complete Genome	3/4/22	JAJAQD01	24		
GCF_016861735.1	AchevalieriM1_assembly01	Aspergillus chevalieri		M1					"Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University"	29697343	Complete Genome	1/30/21		8		
GCF_004011695.2	ASM401169v2	Ascochyta rabiei					Me14		Annotation submitted by Curtin University	40846718	Complete Genome	8/25/22		22		
GCA_903995115.1	Adeanei_nanopore_chromosomes	Angomonas deanei		Crithidia deanei Carvalho (ATCC PRA-265)					Annotation submitted by York	20976081	Complete Genome	8/21/20		29		
GCF_000091025.4	ASM9102v4	Eremothecium gossypii ATCC 10895		ATCC 10895					"Annotation submitted by Biozentrum, University of Basel, Switzerland"	9095748	Complete Genome	10/18/10		7		
GCF_000740895.1	ASM74089v1	Theileria orientalis strain Shintoku		Shintoku					Annotation submitted by NCBI RefSeq	8983596	Complete Genome	9/5/12		4		
GCA_034359265.1	ASM3435926v1	Canna indica							Annotation submitted by Guizhou University	752924351	Complete Genome	12/13/23		9		
GCF_034447905.1	ASM3444790v1	Colletotrichum destructivum		CBS 520.97					Annotation submitted by INRAE	51750812	Complete Genome	12/18/23		12		
GCA_026184415.1	ASM2618441v1	Trichothecium roseum		YXFP-22015					"Annotation submitted by National Biopesticide Engineering Technology Research Centre, Hubei Academy of Agricultural Sciences"	33510174	Complete Genome	11/21/22	JAOAPZ01	11		
GCA_002287475.2	ASM228747v2	Pyrrhoderma noxium		FFPRI411160					Annotation submitted by Academia Sinica	31444514	Complete Genome	7/11/19	NBII01	12		
GCA_023205875.1	ASM2320587v1	Chloropicon primus		RCC138					Annotation submitted by Illinois Institute of Technology	17584162	Complete Genome	5/2/22		20		
GCA_019677325.2	ASM1967732v2	Pleurotus cornucopiae					CCMSSC00406		Annotation submitted by Institute of Agricultural Resources and Regional Planning	32382086	Complete Genome	8/25/21	WQMT02	11		
GCA_016952355.1	ASM1695235v1	Fusarium culmorum		Class2-1B					Annotation submitted by Chinese Academy of Forestry	37519305	Complete Genome	11/16/20		4		
GCF_020509005.1	Cfulv_R5_v5	Fulvia fulva		Race5_Kim					Annotation submitted by University of California	67169167	Complete Genome	1/24/22		14		
GCF_000092065.1	ASM9206v1	Ostreococcus lucimarinus CCE9901		CCE9901					Annotation submitted by US DOE Joint Genome Institute	13204888	Complete Genome	4/10/07		21		
GCF_028878055.2	NHGRI_mSymSyn1-v2.0_pri	Symphalangus syndactylus					Jambi	male	GCF_028878055.2-RS_2024_02	3262887708	Complete Genome	1/5/24	JAQQLG02	26		
GCF_032362555.1	ilAmyTran1.1	Amyelois transitella					CPQ	female	GCF_032362555.1-RS_2023_11	327376598	Complete Genome	10/4/23	JAMBPN01	32		
GCF_023278565.1	ASM2327856v1	Colletotrichum lupini		IMI 504893					Annotation submitted by University of Western Brittany	63407421	Complete Genome	5/9/22		11		
GCA_023101225.1	ASM2310122v1	Fusarium solani-melongenae		CRI 24-3					Annotation submitted by Guangdong Academy of Agricultural Sciences	49477711	Complete Genome	4/25/22		12		
GCF_016861865.1	ApuulaauensisMK2_assembly01	Aspergillus puulaauensis		MK2					"Annotation submitted by Fermentation Microbiology, Education and Research Center for Fermentation Studies, Faculty of Agriculture, Kagoshima University"	34318862	Complete Genome	1/30/21		8		
GCF_026873545.1	ASM2687354v1	Fusarium falciforme		Fu3.1					Annotation submitted by Academia Sinica	53563088	Complete Genome	12/13/22		14		
GCF_022605165.1	ASM2260516v1	Purpureocillium takamizusanense		PT3					Annotation submitted by Tokyo University of Science	35574015	Complete Genome	3/17/22		14		
GCA_004217705.1	ASM421770v1	Metschnikowia aff. pulcherrima		APC 1.2					Annotation submitted by Agroscope	15801215	Complete Genome	2/20/19		7		
GCA_007735645.1	ASM773564v1	Venturia effusa		albino					Annotation submitted by Massey University	45212240	Complete Genome	7/31/19		20		
GCA_009938135.1	ASM993813v1	Malassezia furfur					CBS14141		Annotation submitted by Jawaharlal Nehru Centre for Advanced Scientific Research	8268083	Complete Genome	1/28/20		7		
GCF_036417295.1	ASM3641729v1	Cryptococcus decagattii		7685027					Annotation submitted by Broad Institute	17768546	Complete Genome	2/6/24		14		
GCA_034226045.1	ASM3422604v1	Picochlorum sp. SENEW3		SENEW3					Annotation submitted by ARC Centre of Excellence in Synthetic Biology	4091095	Complete Genome	12/8/23		3		
GCA_900080155.1	UBRO_v3	Ustilago bromivora		UB2112					Annotation submitted by Institute of Bioinformatics and Systems Biology	20447485	Complete Genome	11/3/16		23		
GCF_000226115.1	ASM22611v1	Thermothielavioides terrestris NRRL 8126		NRRL 8126					Annotation submitted by DOE Joint Genome Institute	36912256	Complete Genome	9/16/11		6		
GCA_019565615.1	ASM1956561v1	Trichoderma simmonsii		GH-Sj1					Annotation submitted by National Marine Biodiversity Institute of Korea	40078385	Complete Genome	8/11/21		7		
GCF_013368755.1	ASM1336875v1	Talaromyces rugulosus		W13939					Annotation submitted by Xi'an Jiaotong University	35758560	Complete Genome	6/23/20		6		
GCA_023920165.1	ASM2392016v1	Curvularia clavata		yc1106					Annotation submitted by Guizhou Academy of Tobacco Science	32360171	Complete Genome	6/27/22		8		
GCF_020906515.1	ASM2090651v1	Vanrija pseudolonga					DUCC4014		Annotation submitted by Dankook University	24922244	Complete Genome	11/21/21		8		
GCA_001592805.2	ASM159280v2	Peltaster fructicola		LNHT1506					Annotation submitted by Northwest A&F University	18987130	Complete Genome	4/14/20		5		
GCF_900681995.1	PVVCY_v1	Plasmodium vinckei vinckei							Annotation submitted by KAUST	18338688	Complete Genome	1/30/19		14		
GCF_013402915.1	ASM1340291v1	Zygotorulaspora mrakii		NRRL Y-6702					Annotation submitted by University College Dublin	10412516	Complete Genome	7/12/20		8		
GCA_017301755.1	ASM1730175v1	Pneumocystis wakefieldiae					2A		Annotation submitted by National Institutes Of Health	7303369	Complete Genome	3/8/21		17		
GCA_036287355.1	ASM3628735v1	Kwoniella sp. CBS 6097		CBS 6097					Annotation submitted by Broad Institute	26078312	Complete Genome	1/29/24		5		
GCA_036428585.1	ASM3642858v1	Kwoniella sp. CBS 9459		CBS 9459					Annotation submitted by Broad Institute	25236468	Complete Genome	2/7/24		6		
GCA_020045945.2	ASM2004594v2	Trichoderma semiorbis		FJ059					Annotation submitted by Hainan University	42023549	Complete Genome	9/24/21	JAIMJC01	7		
GCA_026210745.1	ASM2621074v1	Exobasidium rhododendri		CBS101457					Annotation submitted by Hebei University	17559058	Complete Genome	11/16/22		3		
GCA_036427605.1	ASM3642760v1	Cryptococcus sp. DSM 104549		DSM 104549			OR918		Annotation submitted by Broad Institute	24520542	Complete Genome	2/7/24		7		
GCA_016906575.1	ASM1690657v1	Ceratobasidium sp. AG-Ba		AG-Ba			JN		Annotation submitted by China Agricultural University	96290521	Complete Genome	2/18/21		32		
GCA_030864385.1	ASM3086438v1	Cutaneotrichosporon sp. HIS471		HIS471					Annotation submitted by Tokyo University of Agriculture	20595329	Complete Genome	6/24/23		8		
GCA_024114885.1	ASM2411488v1	Septoria linicola		SE15195					Annotation submitted by INRAE	39552501	Complete Genome	7/1/22		16		
GCF_035610405.1	ASM3561040v1	[Candida] saopauloensis		19XY460					Annotation submitted by Peking Union Medical College Hospital	12068158	Complete Genome	1/12/24		8		
GCA_963924405.1	CAAN4	[Candida] anglica		29B2s-10					Annotation submitted by Genoscope CEA	13719988	Complete Genome	3/9/24		8		
GCA_033807595.1	ASM3380759v1	Acrodontium crateriforme					169a		Annotation submitted by Academia Sinica	23050344	Complete Genome	11/20/23		14		
GCA_039513925.1	PZIJ_v1.0	Platanthera zijinensis					Lor287		Annotation submitted by Fujian Agriculture and Forestry University	4186550321	Complete Genome	5/6/24	JBBWWQ01	21		
GCA_000412225.2	ASM41222v2	[Ashbya] aceris (nom. inval.)							"Annotation submitted by Duke University, Molecular Genetics and Microbiology"	8867527	Complete Genome	6/5/14		7		
GCA_036426225.1	ASM3642622v1	Cryptococcus sp. DSM 104548		DSM 104548			OR849		Annotation submitted by Broad Institute	19153593	Complete Genome	2/7/24		14		
GCA_029542865.1	ASM2954286v1	Malassezia equina		CBS 12830					Annotation submitted by Duke University	7775479	Complete Genome	4/3/23		8		
GCA_029542825.1	ASM2954282v1	Malassezia sp. CBS 17886		CBS 17886					Annotation submitted by Duke University	9312381	Complete Genome	4/3/23		9		
GCA_013694445.1	ASM1369444v1	Torulaspora sp. CBS 2947		CBS2947					Annotation submitted by University College Dublin	9264691	Complete Genome	7/26/20		8		
GCA_031892065.1	ASM3189206v1	Cryptosporidium sp. 43IA8					43IA8		Annotation submitted by Centers for Disease Control and Prevention	9152619	Complete Genome	9/25/23		8		
GCF_010111755.1	ASM1011175v1	Nakaseomyces glabratus		ATCC 2001					Annotation submitted by Johns Hopkins Medical Institution	12726212	Chromosome	2/3/20		13		
GCF_000006445.2	ASM644v2	Debaryomyces hansenii CBS767		CBS767					Annotation submitted by Genolevures Consortium	12152486	Chromosome	9/16/08		7		
GCF_000237345.1	ASM23734v1	Naumovozyma castellii CBS 4309		type strain:CBS 4309					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin"	11219539	Chromosome	8/1/11		10		
GCF_002079055.1	ASM207905v1	Saccharomyces paradoxus		CBS432					Annotation submitted by SC	12021328	Chromosome	3/21/17		16		
GCF_000026365.1	ASM2636v1	Zygosaccharomyces rouxii		CBS 732					Annotation submitted by Genolevures Consortium	9764635	Chromosome	6/5/09		7		
GCF_000243375.1	ASM24337v1	Torulaspora delbrueckii		type strain:CBS 1146					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	9220678	Chromosome	12/8/11		8		
GCF_000142805.1	ASM14280v1	Lachancea thermotolerans CBS 6340		CBS 6340					Annotation submitted by Génolevures Consortium	10392862	Chromosome	6/5/09		8		
GCF_002954075.1	C. deuterogattii_R265_chr	Cryptococcus deuterogattii R265					R265		Annotation submitted by Jawaharlal Nehru Centre for Advanced Scientific Research	17550122	Chromosome	2/27/18		14		
GCF_000304475.1	Ka_CBS2517	Kazachstania africana CBS 2517		type strain:CBS 2517					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	11130140	Chromosome	1/17/12		12		
GCF_000315915.1	ASM31591v1	Henningerozyma blattae CBS 6284		type strain:CBS 6284					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	14048593	Chromosome	5/11/12		10		
GCF_000348985.1	ASM34898v1	Huiozyma naganishii CBS 8797		type strain:CBS 8797					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	10845821	Chromosome	9/5/12		13		
GCF_000227115.2	ASM22711v2	Naumovozyma dairenensis CBS 421		type strain:CBS 421					"Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland"	13527580	Chromosome	8/20/12		11		
GCA_000002945.3	ASM294v3	Schizosaccharomyces pombe		972h-					Annotation submitted by S. pombe European Sequencing Consortium (EUPOM)	12571820	Chromosome	11/9/07		3		
GCF_000002945.1	ASM294v2	Schizosaccharomyces pombe		972h-					Annotation submitted by PomBase	12571820	Chromosome	11/9/07		3		
GCF_000182965.3	ASM18296v3	Candida albicans SC5314		SC5314					CGD A22-s07-m01-r01	14282666	Chromosome	10/12/16		8		
GCF_030269925.1	ASM3026992v2	Bombyx mori							GCF_030269925.1-RS_2024_01	461688958	Chromosome	7/6/23		29		
GCF_000091045.1	ASM9104v1	Cryptococcus neoformans var. neoformans JEC21		JEC21					Annotation submitted by TIGR	19051922	Chromosome	1/7/05		14		
GCF_002234675.1	ASM223467v1	Oryzias latipes							NCBI Oryzias latipes Annotation Release 103	734040372	Chromosome	7/27/17		24		
GCF_000011425.1	ASM1142v1	Aspergillus nidulans FGSC A4		FGSC A4					Annotation submitted by Eurofungbase (Eurofung)	29828291	Chromosome	9/24/09		8		
GCF_014117465.1	ASM1411746v1	Aspergillus flavus NRRL3357		NRRL3357					Annotation submitted by University of Georgia	36995582	Chromosome	8/9/20		8		
GCA_037833965.1	MpTak2_v7.1	Marchantia polymorpha subsp. ruderalis		Takaragaike-2				female	Annotation submitted by National Institute of Genetics	241484302	Chromosome	3/27/24		9		
GCF_000002525.2	ASM252v1	Yarrowia lipolytica CLIB122		CLIB122					Annotation submitted by Genolevures Consortium	20502981	Chromosome	7/2/04		6		
GCA_900231445.1	Svevo.v1	Triticum turgidum subsp. durum							Annotation submitted by ITB-CNR	9964338633	Chromosome	2/13/19		14		
GCF_021134715.1	ASM2113471v1	Daphnia pulex					KAP4	pooled male and female	NCBI Daphnia pulex Annotation Release 100	133181052	Chromosome	12/9/21		12		
GCF_000227135.1	ASM22713v2	Leishmania donovani		BPK282A1					Annotation submitted by Wellcome Trust Sanger Institute	32444968	Chromosome	12/13/11		36		
GCF_000027005.1	ASM2700v1	Komagataella phaffii GS115		GS115					"Annotation submitted by Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium"	9216378	Chromosome	5/25/09		4		
GCF_015104395.2	ASM1510439v2	Macrobrachium nipponense							GCF_015104395.2-RS_2024_03	4253862858	Chromosome	10/29/20		49		
GCA_011022315.1	ASM1102231v1	Saccharomyces pastorianus		CBS 1483					Annotation submitted by Delft University of Technology	22966002	Chromosome	2/26/20		31		
GCF_900079805.1	Fusarium_fujikuroi_IMI58289_V2	Fusarium fujikuroi IMI 58289		IMI 58289					Annotation submitted by HMGU-IBIS	43832314	Chromosome	8/20/13		12		
GCF_001625215.2	DH1 v3.0	Daucus carota subsp. sativus			DH1				GCF_001625215.2-RS_2024_03	440713325	Chromosome	10/20/23		9		
GCA_030408175.1	UTM_Trep_v1.0	Trifolium repens					ACLI19		Annotation submitted by University of Toronto Mississauga	967718717	Chromosome	7/5/23		16		
GCF_917563875.1	PGI_DIABVI_V3a	Diabrotica virgifera virgifera							NCBI Diabrotica virgifera virgifera Annotation Release 101	2533404242	Chromosome	7/29/22		10		
GCA_905216605.1	AARE701a	Arabidopsis arenosa							Annotation submitted by MPI FOR DEVELOPMENTAL BIOLOGY	149659193	Chromosome	2/13/21		8		
GCF_000185945.1	ASM18594v1	Cryptococcus gattii WM276		WM276					Annotation submitted by Canada's Michael Smith Genome Sciences Centre	18374760	Chromosome	1/12/11		14		
GCA_902850265.1	PGI_Spodlit_v1	Spodoptera littoralis							Annotation submitted by ROTHAMSTED RESEARCH	435647201	Chromosome	6/24/22		31		
GCF_000208865.1	ASM20886v2	Neospora caninum Liverpool		Liverpool					Annotation submitted by Wellcome Trust Sanger Institute	57547420	Chromosome	3/2/11		14		
GCA_030553155.1	ASM3055315v1	Nippostrongylus brasiliensis		MIMR				pooled male and female	Annotation submitted by Cornell University	257391350	Chromosome	7/31/23		6		
GCF_001406875.1	SPENNV200	Solanum pennellii							NCBI Solanum pennellii Annotation Release 101	926426464	Chromosome	7/11/14		12		
GCF_901000735.1	CavTom2PMs-1.0	Corylus avellana			Tombul				GCF_901000735.1-RS_2023_09	369779143	Chromosome	11/25/20		11		
GCF_000214015.3	version 140606	Ostreococcus tauri		RCC4221					"Annotation submitted by Laboratoire Arago, France"	12916858	Chromosome	10/2/14	CAID01	20		
GCF_000315875.1	ASM31587v1	Candida orthopsilosis Co 90-125		Co 90-125					Annotation submitted by Trinity College Dublin	12659401	Chromosome	3/14/12		8		
GCA_020844145.1	ASM2084414v1	Sarcoptes scabiei					X4-3		"Annotation submitted by College of Veterinary Medicine, Sichuan Agricultural University"	57283228	Chromosome	11/12/21		9		
