Name	Sequence Length
GCA_000196675.2_Bacteria_Actinomycetota_Pseudonocardia_dioxanivorans_CB1190	516
GCA_000196895.1_Archaea_Halobacteriota_Halalkalicoccus_jeotgali_B3	14
GCA_000211475.1_Archaea_Methanobacteriota_B_Pyrococcus_sp._NA2	5
GCA_000213215.1_Archaea_Thermoproteota_Acidianus_hospitalis_W1	4
GCA_000213785.1_Bacteria_Aquificota_Hydrogenobaculum_sp._3684	342
GCA_000214725.1_Archaea_Methanobacteriota_Methanobacterium_paludis	3
GCA_000215065.1_Bacteria_Aquificota_Hydrogenobaculum_sp._SHO	342
GCA_000215995.1_Archaea_Methanobacteriota_B_Pyrococcus_yayanosii_CH1	4
GCA_000217715.1_Archaea_Halobacteriota_Halopiger_xanaduensis_SH-6	20
GCA_000217995.1_Archaea_Halobacteriota_Methanosalsum_zhilinae_DSM_4017	7
GCA_000218895.1_Bacteria_Bacteroidota_Runella_slithyformis_DSM_19594	592
GCA_000224475.1_Archaea_Halobacteriota_halophilic_archaeon_DL31	16
GCA_000234805.1_Archaea_Thermoproteota_Pyrobaculum_ferrireducens	3
GCA_000243255.1_Archaea_Halobacteriota_Methanoplanus_limicola_DSM_2279	17
GCA_000243315.1_Archaea_Thermoproteota_Metallosphaera_yellowstonensis_MK1	8
GCA_000247545.1_Archaea_Thermoproteota_Pyrobaculum_oguniense_TE7	4
GCA_000258425.1_Archaea_Thermoproteota_Fervidicoccus_fontis_Kam940	12
GCA_000262405.1_Bacteria_Pseudomonadota_Microvirga_lotononidis	455
GCA_000264495.1_Archaea_Thermoproteota_Thermogladius_calderae_1633	9
GCA_000266905.1_Bacteria_Actinomycetota_Mycolicibacterium_chubuense_NBB4	416
GCA_000275605.1_Archaea_Methanobacteriota_B_Pyrococcus_furiosus_COM1	4
GCA_000275865.1_Archaea_Halobacteriota_Methanofollis_liminatans_DSM_4140	16
GCA_000293805.1_Bacteria_Bacillota_Paenibacillus_alvei_DSM_29	455
GCA_000296815.2_Bacteria_Bacteroidota_Fibrisoma_limi_BUZ_3	662
GCA_000298195.1_Bacteria_Actinomycetota_Gordonia_rhizosphera_NBRC_16068	157
GCA_000306725.1_Archaea_Halobacteriota_Methanolobus_psychrophilus_R15	7
GCA_000316115.1_Bacteria_Cyanobacteriota_Leptolyngbya_sp._PCC_7375	478
GCA_000317105.1_Bacteria_Cyanobacteriota_Oscillatoria_acuminata_PCC_6304	546
GCA_000317145.1_Bacteria_Cyanobacteriota_Chamaesiphon_minutus_PCC_6605	525
GCA_000317515.1_Bacteria_Cyanobacteriota_Allocoleopsis_franciscana_PCC_7113	493
GCA_000317535.1_Bacteria_Cyanobacteriota_Cylindrospermum_stagnale_PCC_7417	534
GCA_000317695.1_Bacteria_Cyanobacteriota_Anabaena_cylindrica_PCC_7122	538
GCA_000317795.1_Archaea_Thermoproteota_Caldisphaera_lagunensis_DSM_15908	13
GCA_000327485.1_Archaea_Halobacteriota_Methanoregula_formicica_SMSP	7
GCA_000328525.1_Archaea_Halobacteriota_Halovivax_ruber_XH-70	14
GCA_000328665.1_Archaea_Halobacteriota_Methanomethylovorans_hollandica_DSM_15978	7
GCA_000328685.1_Archaea_Halobacteriota_Natronococcus_occultus_SP4	12
GCA_000331735.1_Bacteria_Myxococcota_Myxococcus_stipitatus_DSM_14675	569
GCA_000336875.1_Archaea_Halobacteriota_Halorubrum_californiense_DSM_19288	10
GCA_000337095.1_Archaea_Halobacteriota_Halogeometricum_pallidum_JCM_14848	19
GCA_000337235.1_Archaea_Halobacteriota_Natronorubrum_tibetense_GA33	12
GCA_000337355.1_Archaea_Halobacteriota_Halorubrum_kocurii_JCM_14978	10
GCA_000337475.1_Archaea_Halobacteriota_Natrinema_limicola_JCM_13563	12
GCA_000337535.1_Archaea_Halobacteriota_Natrialba_aegyptia_DSM_13077	20
GCA_000337715.1_Archaea_Halobacteriota_Natronorubrum_bangense_JCM_10635	12
GCA_000337795.1_Archaea_Halobacteriota_Haloferax_denitrificans_ATCC_35960	13
GCA_000337875.1_Archaea_Halobacteriota_Natrialba_magadii_ATCC_43099	20
GCA_000340415.1_Bacteria_Actinomycetota_Amycolatopsis_azurea_DSM_43854	171
GCA_000340665.2_Eukaryote_Cajanus_cajan	783
GCA_000346485.2_Bacteria_Cyanobacteriota_Scytonema_hofmannii_PCC_7110	573
GCA_000385565.1_Archaea_Halobacteriota_Archaeoglobus_sulfaticallidus_PM70-1	13
GCA_000402035.1_Bacteria_Pseudomonadota_Caballeronia_insecticola	496
GCA_000403645.1_Archaea_Halobacteriota_Salinarchaeum_sp._Harcht-Bsk1	14
GCA_000444875.1_Bacteria_Actinomycetota_Streptomyces_collinus_Tu_365	514
GCA_000494755.1_Bacteria_Actinomycetota_Actinoplanes_friuliensis_DSM_7358	512
GCA_000495475.1_Archaea_Halobacteriota_Candidatus_Halobonum_tyrrellensis_G22	19
GCA_000497425.1_Bacteria_Actinomycetota_Streptomyces_niveus_NCIMB_11891	268
GCA_000517625.1_Archaea_Halobacteriota_Halostagnicola_larsenii_XH-48	12
GCA_000591035.1_Archaea_Thermoproteota_Aeropyrum_camini_SY1___JCM_12091	14
GCA_000591055.1_Archaea_Halobacteriota_Natronomonas_moolapensis_8.8.11	15
GCA_000632495.1_Archaea_Thermoproteota_Candidatus_Acidianus_copahuensis	16
GCA_000685635.1_Archaea_Halobacteriota_Haloferax_mediterranei_ATCC_33500	13
GCA_000689255.1_Bacteria_Actinomycetota_Mycobacterium_triplex	146
GCA_000696115.1_Bacteria_Actinomycetota_Streptomyces_olindensis	237
GCA_000696185.1_Bacteria_Actinomycetota_Kitasatospora_cheerisanensis_KCTC_2395	106
GCA_000698785.1_Archaea_Thermoproteota_Nitrososphaera_viennensis_EN76	3
GCA_000705595.2_Bacteria_Pseudomonadota_Sinorhizobium_americanum_CCGM7	387
GCA_000725425.1_Archaea_Methanobacteriota_B_Palaeococcus_pacificus_DY20341	4
GCA_000734035.1_Archaea_Halobacteriota_Archaeoglobus_fulgidus_DSM_8774	11
GCA_000737315.1_Bacteria_Myxococcota_Hyalangium_minutum	570
GCA_000739085.1_Bacteria_Actinomycetota_Amycolatopsis_methanolica_239	469
GCA_000758665.1_Bacteria_Bacillota_Paenibacillus_borealis	403
GCA_000760695.4_Bacteria_Cyanobacteriota_Tolypothrix_bouteillei_VB521301	570
GCA_000765475.1_Archaea_Halobacteriota_Methanococcoides_methylutens	7
GCA_000769655.1_Archaea_Methanobacteriota_B_Thermococcus_eurythermalis	7
GCA_000785985.1_Bacteria_Actinomycetota_Actinoplanes_utahensis	526
GCA_000828075.3_Bacteria_Cyanobacteriota_Tolypothrix_campylonemoides_VB511288	551
GCA_000828085.3_Bacteria_Cyanobacteriota_Scytonema_tolypothrichoides_VB-61278	584
GCA_000931445.1_Bacteria_Actinomycetota_Streptomyces_cyaneogriseus_subsp._noncyanogenus	504
GCA_000935125.1_Bacteria_Actinomycetota_Streptomyces_natalensis_ATCC_27448	530
GCA_000948395.1_Bacteria_Actinomycetota_Frankia_torreyi	507
GCA_000948975.2_Bacteria_Pseudomonadota_Thalassomonas_actiniarum	395
GCA_000966975.1_Bacteria_Actinomycetota_Streptomyces_katrae	226
GCA_000974925.2_Bacteria_Actinomycetota_Mycolicibacterium_obuense	195
GCA_000979205.1_Archaea_Halobacteriota_Methanosarcina_mazei	7
GCA_000980885.2_Bacteria_Actinomycetota_Streptomyces_malaysiense	501
GCA_000993805.1_Archaea_Thermoproteota_Infirmifilum_uzonense	13
GCA_001006045.1_Archaea_Halobacteriota_Geoglobus_ahangari	4
GCA_001017125.1_Archaea_Halobacteriota_Methanoculleus_sediminis	7
GCA_001022135.1_Bacteria_Pseudomonadota_Phytobacter_ursingii	403
GCA_001077745.1_Bacteria_Actinomycetota_Mycolicibacterium_conceptionense	425
GCA_001187435.1_Bacteria_Actinomycetota_Streptomyces_caatingaensis	491
GCA_001189365.1_Bacteria_Pseudomonadota_Candidatus_Burkholderia_verschuerenii	501
GCA_001275395.1_Bacteria_Cyanobacteriota_Hapalosiphon_sp._MRB220	540
GCA_001280425.1_Archaea_Halobacteriota_Haloarcula_rubripromontorii	14
GCA_001293475.1_Bacteria_Pseudomonadota_Pseudomonas_fuscovaginae	338
GCA_001302585.1_Bacteria_Actinomycetota_Kibdelosporangium_phytohabitans	553
GCA_001304615.2_Archaea_Halobacteriota_Methanosarcina_flavescens	7
GCA_001305655.1_Archaea_Halobacteriota_Halanaeroarchaeum_sulfurireducens	12
GCA_001306135.1_Bacteria_Chloroflexota_Herpetosiphon_geysericola	235
GCA_001373395.1_Bacteria_Actinomycetota_Mycobacterium_lentiflavum	441
GCA_001422365.1_Bacteria_Pseudomonadota_Pseudorhodoferax_sp._Leaf265	483
GCA_001433455.1_Archaea_Methanobacteriota_B_Thermococcus_barophilus	4
GCA_001440385.1_Bacteria_Pseudomonadota_Bradyrhizobium_valentinum	379
GCA_001481685.1_Archaea_Thermoproteota_Ignicoccus_islandicus_DSM_13165	6
GCA_001482415.1_Bacteria_Actinomycetota_Streptomyces_silvensis	536
GCA_001509495.1_Bacteria_Actinomycetota_Actinoplanes_awajinensis_subsp._mycoplanecinus	532
GCA_001542325.1_Bacteria_Actinomycetota_Micromonospora_rifamycinica	492
GCA_001544455.2_Bacteria_Pseudomonadota_Caballeronia_sordidicola	495
GCA_001544975.2_Bacteria_Pseudomonadota_Caballeronia_arationis	490
GCA_001563265.1_Bacteria_Pseudomonadota_Sphingobium_sp._TKS	369
GCA_001570485.1_Bacteria_Actinomycetota_Mycolicibacterium_novocastrense	403
GCA_001579845.1_Bacteria_Pseudomonadota_Rhodoplanes_sp._Z2-YC6860	393
GCA_001595995.1_Bacteria_Pseudomonadota_Bradyrhizobium_liaoningense	398
GCA_001611795.1_Bacteria_Actinomycetota_Streptomyces_qaidamensis	534
GCA_001625445.1_Archaea_Halobacteriota_Haladaptatus_sp._R4	14
GCA_001639275.1_Archaea_Methanobacteriota_Methanobrevibacter_oralis	3
GCA_001641635.1_Bacteria_Pseudomonadota_Bradyrhizobium_centrolobii	389
GCA_001647085.1_Archaea_Methanobacteriota_B_Thermococcus_piezophilus	4
GCA_001650175.1_Bacteria_Verrucomicrobiota_Termitidicoccus_mucosus	376
GCA_001652565.1_Bacteria_Pseudomonadota_Shinella_sp._HZN7	382
GCA_001653565.1_Bacteria_Bacillota_Paenibacillus_oryzisoli	476
GCA_001654435.1_Bacteria_Pseudomonadota_Pseudomonas_citronellolis	341
GCA_001673675.1_Bacteria_Pseudomonadota_Paraburkholderia_tropica	484
GCA_001675225.1_Bacteria_Actinomycetota_Mycobacterium_gordonae	451
GCA_001701025.1_Bacteria_Actinomycetota_Lentzea_guizhouensis	109
GCA_001705425.1_Bacteria_Pseudomonadota_Mesorhizobium_hungaricum	364
GCA_001741865.1_Bacteria_Pseudomonadota_Bosea_vaviloviae	447
GCA_001742225.1_Bacteria_Pseudomonadota_Novosphingobium_resinovorum	418
GCA_001746425.1_Bacteria_Actinomycetota_Streptomyces_subrutilus	529
GCA_001756925.1_Bacteria_Actinomycetota_Streptomyces_fradiae	148
GCA_001758545.1_Bacteria_Pseudomonadota_Duganella_sp._HH105	455
GCA_001854695.1_Bacteria_Actinomycetota_Parafrankia_soli	535
GCA_001854805.1_Bacteria_Actinomycetota_Pseudofrankia_sp._BMG5.36	557
GCA_001866645.1_Bacteria_Actinomycetota_Streptomyces_colonosanans	521
GCA_001870735.1_Bacteria_Bacteroidota_Arsenicibacter_rosenii	678
GCA_001885535.1_Bacteria_Actinomycetota_Nocardia_seriolae	537
GCA_001886715.1_Bacteria_Actinomycetota_Nocardia_mangyaensis	495
GCA_001886955.1_Archaea_Halobacteriota_Halodesulfurarchaeum_formicicum	11
GCA_001904715.1_Bacteria_Cyanobacteriota_Nostoc_calcicola_FACHB-389	540
GCA_001904725.1_Bacteria_Cyanobacteriota_Phormidium_ambiguum_IAM_M-71	534
GCA_001940455.1_Bacteria_Actinomycetota_Actinokineospora_bangkokensis	507
GCA_001941645.1_Bacteria_Actinomycetota_Actinoalloteichus_sp._GBA129-24	533
GCA_001955865.1_Bacteria_Bacillota_Paenibacillus_glucanolyticus	390
GCA_001989615.1_Archaea_Halobacteriota_Halorientalis_sp._IM1011	17
GCA_002013915.1_Bacteria_Bacteroidota_Mucilaginibacter_pedocola	499
GCA_002021565.1_Bacteria_Bacillota_Paenibacillus_selenitireducens	376
GCA_002025255.2_Archaea_Halobacteriota_Halolamina_sp._CBA1230	17
GCA_002072215.1_Archaea_Methanobacteriota_Methanobrevibacter_arboriphilus_JCM_13429___DSM_1125	3
GCA_002073995.1_Bacteria_Pseudomonadota_Vibrio_coralliilyticus	394
GCA_002077945.1_Bacteria_Bacteroidota_Niastella_vici	579
GCA_002077985.1_Bacteria_Bacteroidota_Niastella_koreensis	592
GCA_002078015.1_Bacteria_Bacteroidota_Niastella_populi	568
GCA_002086155.1_Bacteria_Actinomycetota_Mycobacterium_angelicum	437
GCA_002095535.1_Bacteria_Pseudomonadota_Pantoea_cypripedii	396
GCA_002116695.1_Archaea_Thermoproteota_Acidianus_manzaensis	5
GCA_002147825.1_Bacteria_Bacillota_Bacillus_thuringiensis_serovar_yunnanensis	188
GCA_002154225.1_Bacteria_Bacteroidota_Hymenobacter_crusticola	569
GCA_002156705.1_Archaea_Halobacteriota_Natrarchaeobaculum_aegyptiacum	14
GCA_002177135.1_Archaea_Halobacteriota_Natronolimnobius_baerhuensis	20
GCA_002192415.1_Bacteria_Bacillota_Paenibacillus_donghaensis	422
GCA_002194565.1_Archaea_Thermoproteota_Pyrodictium_delaneyi	14
GCA_002214365.1_Archaea_Methanobacteriota_B_Thermococcus_celer_Vu_13___JCM_8558	4
GCA_002214385.1_Archaea_Methanobacteriota_B_Thermococcus_gorgonarius	5
GCA_002214485.1_Archaea_Methanobacteriota_B_Thermococcus_pacificus	8
GCA_002214505.1_Archaea_Methanobacteriota_B_Thermococcus_siculi	8
GCA_002214565.1_Archaea_Methanobacteriota_B_Thermococcus_radiotolerans	4
GCA_002214585.1_Archaea_Methanobacteriota_B_Thermococcus_profundus	4
GCA_002215075.1_Bacteria_Bacillota_Brevibacillus_formosus	381
GCA_002220235.1_Eukaryote_Bathycoccus_prasinos	979
GCA_002234615.1_Bacteria_Bacillota_Paenibacillus_rigui	426
GCA_002236815.1_Bacteria_Actinomycetota_Nocardia_cerradoensis	486
GCA_002261065.1_Bacteria_Pseudomonadota_Zooshikella_ganghwensis	315
GCA_002266435.2_Bacteria_Pseudomonadota_Bradyrhizobium_amphicarpaeae	398
GCA_002289455.1_Bacteria_Cyanobacteriota_Calothrix_elsteri_CCALA_953	549
GCA_002305875.1_Bacteria_Myxococcota_Cystobacter_fuscus	603
GCA_002335465.1_Bacteria_Actinomycetota_Streptomyces_olivochromogenes	545
GCA_002355595.1_Bacteria_Bacteroidota_Filimonas_lacunae	614
GCA_002356095.1_Bacteria_Pseudomonadota_Pseudomonas_putida	342
GCA_002362315.1_Bacteria_Pseudomonadota_Paraburkholderia_acidicola	469
GCA_002367995.1_Bacteria_Cyanobacteriota_Calothrix_brevissima_NIES-22	542
GCA_002368015.1_Bacteria_Cyanobacteriota_Trichormus_variabilis_NIES-23	533
GCA_002368095.1_Bacteria_Cyanobacteriota_Calothrix_parasitica_NIES-267	545
GCA_002646595.1_Bacteria_Bacteroidota_Flavilitoribacter_nigricans_DSM_23189___NBRC_102662	542
GCA_002692925.1_Bacteria_Pseudomonadota_Hyphomonas_sp.	345
GCA_002727185.1_Bacteria_Planctomycetota_Rhodopirellula_bahusiensis	528
GCA_002741015.1_Bacteria_Pseudomonadota_Microvirga_ossetica	450
GCA_002788215.1_Archaea_Halobacteriota_Halohasta_litchfieldiae	8
GCA_002813775.1_Bacteria_Pseudomonadota_Candidatus_Thiodictyon_syntrophicum	465
GCA_002858765.1_Bacteria_Pseudomonadota_Cupriavidus_pauculus	477
GCA_002879885.1_Bacteria_Pseudomonadota_Trinickia_dabaoshanensis	467
GCA_002906575.1_Archaea_Halobacteriota_Salinigranum_rubrum	11
GCA_002934265.1_Bacteria_Actinomycetota_Actinokineospora_auranticolor	522
GCA_002937115.1_Bacteria_Pseudomonadota_Rhodopila_globiformis	427
GCA_002952775.1_Archaea_Halobacteriota_Halalkaliarchaeum_desulfuricum	17
GCA_003001935.1_Bacteria_Actinomycetota_Nonomuraea_fuscirosea	536
GCA_003002095.1_Bacteria_Actinomycetota_Allonocardiopsis_opalescens	511
GCA_003002815.1_Bacteria_Actinomycetota_Umezawaea_tangerina	534
GCA_003003795.1_Bacteria_Cyanobacteriota_Stenomitos_frigidus_ULC18	550
GCA_003010965.1_Bacteria_Pseudomonadota_Phyllobacterium_sophorae	409
GCA_003012705.1_Bacteria_Pseudomonadota_Mesorhizobium_soli	376
GCA_003014485.1_Bacteria_Actinomycetota_Murinocardiopsis_flavida	549
GCA_003014595.1_Bacteria_Bacteroidota_Chitinophaga_ginsengisoli	694
GCA_003014695.1_Bacteria_Bacteroidota_Dyadobacter_jiangsuensis	521
GCA_003014735.1_Bacteria_Actinomycetota_Saccharothrix_carnea	529
GCA_003028655.1_Bacteria_Pseudomonadota_Trinickia_symbiotica	473
GCA_003030385.1_Bacteria_Actinomycetota_Plantactinospora_sp._BB1	486
GCA_003058225.1_Bacteria_Actinomycetota_Promicromonospora_sp._AC04	493
GCA_003058365.1_Archaea_Halobacteriota_Halococcoides_cellulosivorans	12
GCA_003111625.1_Archaea_Methanobacteriota_Methanobrevibacter_thaueri	3
GCA_003122325.1_Bacteria_Pseudomonadota_Metarhizobium_album	413
GCA_003130795.1_Bacteria_Pseudomonadota_Azospirillum_thermophilum	415
GCA_003173335.1_Archaea_Halobacteriota_Methanospirillum_stamsii	18
GCA_003173355.1_Archaea_Halobacteriota_Methanospirillum_lacunae	18
GCA_003201675.2_Archaea_Thermoproteota_Metallosphaera_hakonensis_JCM_8857___DSM_7519	7
GCA_003201765.2_Archaea_Thermoproteota_Acidianus_sulfidivorans_JP7	5
GCA_003201835.2_Archaea_Thermoproteota_Acidianus_brierleyi	8
GCA_003202235.1_Bacteria_Actinomycetota_Prauserella_flavalba	444
GCA_003205235.1_Archaea_Thermoplasmatota_Thermoplasma_sp._Kam2015	14
GCA_003205575.1_Bacteria_Actinomycetota_Streptomyces_tateyamensis	529
GCA_003217475.1_Bacteria_Actinomycetota_Williamsia_limnetica	487
GCA_003217775.1_Bacteria_Bacillota_Paenibacillus_flagellatus	475
GCA_003236295.1_Bacteria_Actinomycetota_Jiangella_anatolica	510
GCA_003236335.1_Bacteria_Actinomycetota_Micromonospora_deserti	203
GCA_003240585.1_Bacteria_Pseudomonadota_Rhizobium_tubonense	401
GCA_003243025.1_Bacteria_Bacillota_Paenibacillus_dendritiformis	357
GCA_003258605.2_Bacteria_Actinomycetota_Peterkaempfera_bronchialis	529
GCA_003289645.1_Bacteria_Actinomycetota_Actinomadura_craniellae	509
GCA_003289945.1_Bacteria_Pseudomonadota_Mesorhizobium_hawassense	358
GCA_003290485.1_Eukaryote_Malassezia_restricta	433
GCA_003308995.1_Bacteria_Bacteroidota_Chitinophaga_flava	716
GCA_003312875.1_Bacteria_Actinomycetota_Amycolatopsis_albispora	488
GCA_003315135.1_Bacteria_Pseudomonadota_Roseiarcus_fermentans	392
GCA_003323735.1_Bacteria_Actinomycetota_Streptomyces_reniochalinae	500
GCA_003330725.1_Bacteria_Acidobacteriota_Acidisarcina_polymorpha	575
GCA_003334855.1_Bacteria_Bacteroidota_Larkinella_punicea	642
GCA_003336245.1_Archaea_Halobacteriota_Haloplanus_salinus	13
GCA_003337375.1_Bacteria_Bacillota_Paenibacillus_prosopidis	391
GCA_003342675.1_Archaea_Halobacteriota_Haloplanus_rubicundus	13
GCA_003344965.1_Bacteria_Actinomycetota_Streptomyces_paludis	529
GCA_003347205.1_Bacteria_Actinomycetota_Mycolicibacterium_moriokaense	398
GCA_003351865.1_Archaea_Methanobacteriota_A_Methanofervidicoccus_sp._A16	3
GCA_003355155.1_Bacteria_Actinomycetota_Streptomyces_armeniacus	515
GCA_003386535.1_Bacteria_Bacillota_Paenibacillus_taihuensis	507
GCA_003386555.1_Bacteria_Actinomycetota_Thermomonospora_umbrina	543
GCA_003387475.1_Bacteria_Actinomycetota_Kutzneria_buriramensis	554
GCA_003412465.1_Bacteria_Bacteroidota_Chitinophaga_silvisoli	708
GCA_003432485.1_Bacteria_Actinomycetota_Actinomadura_spongiicola	503
GCA_003515065.1_Bacteria_Actinomycetota_Nocardioides_immobilis	427
GCA_003555545.1_Bacteria_Bacteroidota_Paraflavitalea_soli	513
GCA_003576455.2_Bacteria_Bacteroidota_Mucilaginibacter_celer	540
GCA_003589925.1_Bacteria_Bacteroidota_Chryseolinea_soli	431
GCA_003598715.1_Bacteria_Actinomycetota_Nocardia_panacis	496
GCA_003600225.1_Bacteria_Actinomycetota_Pseudonocardiaceae_bacterium_YIM_PH_21723	546
GCA_003600245.1_Bacteria_Actinomycetota_Amycolatopsis_panacis	480
GCA_003605575.1_Archaea_Halobacteriota_Halonotius_aquaticus	8
GCA_003605635.1_Archaea_Halobacteriota_Halonotius_pteroides	8
GCA_003610785.1_Bacteria_Actinomycetota_Micromonospora_globbae	484
GCA_003626585.1_Bacteria_Actinomycetota_Streptomyces_radicis	502
GCA_003626635.1_Bacteria_Actinomycetota_Micromonospora_musae	496
GCA_003626655.1_Bacteria_Actinomycetota_Micromonospora_costi	495
GCA_003627755.1_Bacteria_Pseudomonadota_Rhizobium_jaguaris	411
GCA_003627815.1_Bacteria_Actinomycetota_Streptomyces_hundungensis	548
GCA_003633615.1_Bacteria_Bacteroidota_Mucilaginibacter_gracilis	524
GCA_003633685.1_Bacteria_Actinomycetota_Micromonospora_pisi	500
GCA_003633755.1_Bacteria_Actinomycetota_Solirubrobacter_pauli	285
GCA_003674045.1_Bacteria_Actinomycetota_Streptomyces_griseocarneus	502
GCA_003675325.1_Bacteria_Actinomycetota_Streptomyces_dangxiongensis	528
GCA_003688715.1_Archaea_Halobacteriota_Haloplanus_aerogenes	13
GCA_003721175.2_Archaea_Halobacteriota_Halarchaeum_sp._CBA1220	10
GCA_003797765.1_Bacteria_Pseudomonadota_Ramlibacter_sp._WS9	460
