Name,Sequence Length
ANF22993.1,1
ANH02791.1,185
ANI17436.1,148
ANY78946.1,189
ANZ38426.1,13
AOO79887.1,184
AOR78378.1,191
APE36014.1,14
APE96043.1,1
APG83017.1,189
APU19857.1,25
AQL42414.1,1
ARC93053.1,152
ARM75835.1,1
ARS89208.1,1
ASA22221.1,23
ASI99848.1,1
ASJ00181.1,1
ASJ02296.1,1
ASJ06727.1,1
ASJ08754.1,1
ASJ14439.1,1
ASJ54311.1,21
ATB42255.1,186
ATW87424.1,1
AUB81140.1,154
AUV80596.1,1
AUX08227.1,1
AVT37465.1,27
AWB28687.1,3
AWK86139.1,170
AWM04107.1,187
AWR94504.1,1
AWR97195.1,1
AWR99501.1,1
AWX33645.1,1
AXB48042.1,40
AXC14217.1,215
AXG11648.1,1
AXG80596.1,36
AXI79666.1,1
AXK35828.1,19
AXY76923.1,69
AYB30521.1,67
AYG57487.1,187
AYG80080.1,8
AYK16441.1,1
AYL98508.1,65
AYN39122.1,4
AZQ73835.1,6
BAB51982.1,184
BAD85268.1,1
BAI68489.1,8
BAK54216.1,1
BAN23431.1,146
BAN90630.1,1
BAV09379.1,69
BAW25681.1,148
BAY63410.1,64
BAY69457.1,50
BAY85098.1,78
BBI34397.1,23
BBO91897.1,131
BCL68688.1,152
BCU70534.1,1
BDB97118.1,1
BDC19228.1,1
BDR91742.1,7
BDS14637.1,75
CAB3937608.1,147
CAG9164145.1,146
CAI48150.1,1
CAJ35327.1,4
CCH52177.1,67
CCQ37953.1,1
CCQ69969.1,49
CDO87939.1,23
CQD11064.1,23
CRK58541.1,10
EEF61284.1,83
EFC78942.1,39
EFG73817.1,23
EHB44015.1,9
EHP69541.1,1
EHQ28249.1,65
EHQ35869.1,5
EHR78685.1,1
EIM29221.1,189
EJG07924.1,7
EJW15561.1,23
EKF86156.1,1
EKV02413.1,71
ELY29866.1,1
ELY46823.1,1
ELY50709.1,1
ELZ06862.1,1
ELZ25839.1,1
ELZ30052.1,1
EMA06024.1,1
EMA63238.1,1
ESP87599.1,1
EST30229.1,31
ETA68765.1,1
EZQ03088.1,1
GAB88807.1,13
GAT09926.1,19
GAX51493.1,16
GCD96386.1,19
GEP45231.1,76
GET39059.1,57
GFO73769.1,154
GGF92502.1,190
GGJ26383.1,165
GGP20191.1,1
GJD49367.1,204
GJD87028.1,191
GKG77637.1,71
HIK13957.1,103
KAA0081306.1,19
KAA2244923.1,69
KAA2258596.1,20
KAA5831068.1,27
KAA6460105.1,158
KAA8884876.1,15
KAB6085665.1,74
KAB8139902.1,91
KAB8187504.1,13
KAB8320024.1,57
KAB8333525.1,51
KAF3888869.1,97
KAI9131065.1,76
KDN19057.1,24
KDN76197.1,12
KDN82939.1,6
KFE59795.1,189
KGK97929.1,1
KHD73142.1,14
KIZ13830.1,6
KJE24713.1,42
KJY24509.1,10
KKE98259.1,23
KKH70075.1,1
KLK88101.1,8
KMV17913.1,14
KNB51192.1,6
KND59523.1,146
KOP28073.1,73
KOX91680.1,1
KPA97641.1,148
KPL92017.1,98
KQP06385.1,153
KRR00710.1,187
KUF20383.1,20
KUL35761.1,14
KWV33215.1,23
KYC37438.1,73
KYK46674.1,187
KZX13633.1,1
MAL43923.1,237
MBA78316.1,168
MBA2888844.1,13
MBA2944879.1,6
MBA3944694.1,89
MBA9006997.1,29
MBB3109433.1,23
MBB3125923.1,23
MBB3152068.1,23
MBB3206425.1,204
MBB3837303.1,67
MBB4681911.1,20
MBB4705428.1,22
MBB4918172.1,13
MBB4933451.1,30
MBB4957431.1,27
MBB4964035.1,13
MBB5055836.1,199
MBB5080486.1,13
MBB5361951.1,49
MBB5435133.1,16
MBB5789888.1,12
MBB5872282.1,32
MBB5965705.1,13
MBB6032540.1,11
MBB6475185.1,16
MBB6647004.1,1
MBB6732893.1,24
MBC3786583.1,67
MBC6449366.1,10
MBC7085435.1,1
MBC7111089.1,1
MBD0380316.1,23
MBD2098656.1,70
MBD2182274.1,46
MBD2363151.1,53
MBD2501956.1,54
MBD2592755.1,62
MBD3880572.1,87
MBD3918280.1,24
MBE1480565.1,22
MBE1534878.1,52
MBE6487530.1,1
MBE7171470.1,69
MBE9043894.1,82
MBE9065193.1,92
MBE9110396.1,119
MBE9124795.1,60
MBE9177661.1,109
MBE9224678.1,55
MBE9461472.1,66
MBF5044476.1,192
MBF6073456.1,15
MBF6173908.1,17
MBG6087919.1,30
MBG6138155.1,18
MBH0775228.1,14
MBH5142116.1,14
MBH8564261.1,57
MBH8573150.1,50
MBI3390030.1,109
MBI4751983.1,122
MBI4782863.1,86
MBI5385992.1,83
MBI5688863.1,68
MBI5771691.1,68
MBI9089543.1,154
MBJ8344961.1,14
MBK1788572.1,25
MBK1875250.1,77
MBK3333019.1,12
MBK4736989.1,174
MBK5497528.1,34
MBK7055951.1,101
MBK7155072.1,198
MBK7204138.1,220
MBK8135258.1,268
MBK8393784.1,104
MBK8751938.1,152
MBK8987444.1,315
MBK9168211.1,165
MBK9941479.1,97
MBL0156151.1,147
MBL0403598.1,189
MBL0741892.1,67
MBL1176423.1,74
MBL6079575.1,162
MBL7253600.1,20
MBL7645140.1,36
MBL8167189.1,142
MBL8240893.1,133
MBL8621998.1,155
MBL8817590.1,122
MBL9170578.1,87
MBM1171073.1,189
MBM3737766.1,142
MBM3761973.1,143
MBM3812064.1,157
MBM3839478.1,83
MBM4255778.1,89
MBM7114400.1,185
MBM7786884.1,14
MBM9503979.1,4
MBN9656931.1,134
MBO0948896.1,67
MBO2436868.1,38
MBO4247448.1,1
MBO8182817.1,1
MBO9199511.1,69
MBP0577713.1,194
MBP1922580.1,1
MBP1929386.1,7
MBP1973381.1,24
MBP2030479.1,1
MBP2045740.1,1
MBP2132713.1,6
MBP2146082.1,7
MBP2190259.1,14
MBP9860629.1,155
MBQ0927160.1,32
MBR0794103.1,187
MBR1367972.1,3
MBR7824857.1,3
MBS7705969.1,218
MBT0773915.1,16
MBT1685252.1,67
MBT1698636.1,67
MBV0902549.1,1
MBV0924180.1,1
MBV6625220.1,80
MBV6702155.1,12
MBV9398899.1,136
MBW4493841.1,56
MBW4506514.1,60
MBW4545397.1,50
MBW4560222.1,51
MBW4616861.1,53
MBW4619586.1,43
MBW4634382.1,48
MBW4669270.1,54
MBW6399467.1,165
MBW6423643.1,188
MBW8829440.1,147
MBW9112570.1,187
MBX0288178.1,1
MBX0322999.1,1
MBX3127022.1,183
MBX3157356.1,158
MBX3180135.1,29
MBX7210844.1,89
MBX8635774.1,1
MBY0598319.1,24
MBZ2165289.1,1
MBZ5593421.1,181
MBZ5675832.1,135
MBZ8139795.1,147
MCA0846469.1,191
MCA2182206.1,13
MCA2966897.1,102
MCB1190642.1,93
MCB9347400.1,74
MCC4771109.1,1
MCC6017795.1,1
MCC7334593.1,189
MCD0453624.1,24
MCD0461779.1,193
MCD2201851.1,1
MCD5353888.1,37
MCD6523153.1,3
MCE3555043.1,30
MCE7995937.1,68
MCG5056645.1,31
MCG6133582.1,53
MCG8323700.1,66
MCG8672932.1,155
MCI2420323.1,32
MCI4459092.1,8
MCI4465411.1,1
MCI7291686.1,1
MCJ7443915.1,1
MCK6684373.1,136
MCK9150439.1,1
MCL1475322.1,53
MCL1492199.1,38
MCL7343422.1,1
MCL9815691.1,1
MCO1654445.1,14
MCO5949982.1,65
MCO5974507.1,19
MCP1134571.1,23
MCP1714957.1,3
MCP2169618.1,20
MCP2272805.1,13
MCP2310289.1,9
MCP2324867.1,18
MCP2727908.1,44
MCP3797847.1,16
MCP3874934.1,105
MCP3923199.1,133
MCP3944134.1,129
MCP4748429.1,133
MCP5497810.1,93
MCQ1539110.1,3
MCQ6557877.1,23
MCQ6962117.1,1
MCS6768223.1,7
MCS7262149.1,8
MCT2594825.1,18
MCT9095334.1,1
MCU4744034.1,1
MCV7209182.1,5
MCW1923426.1,74
MCW3462500.1,69
MCW4572547.1,10
MCW5551166.1,84
MCW5976615.1,208
MCW6510659.1,187
MCX4407608.1,16
MCX8076627.1,8
MCX8137469.1,1
MCY0868532.1,1
MDA2810493.1,30
MDA3624346.1,27
MDA8140158.1,119
MDC0709519.1,189
MDD3291639.1,1
MDD7924395.1,50
MDE2524343.1,15
MDE8693353.1,96
MDF1510459.1,37
MDF1755904.1,80
MDF2116836.1,186
MDF3818720.1,109
MDF9800211.1,67
MDG2305989.1,165
MDG3005107.1,242
MDG4829664.1,23
MDG5484091.1,5
MDG5778426.1,1
MDG6257018.1,1
MDH2130343.1,175
MDH2425203.1,16
MDH2434148.1,149
MDH6281835.1,14
MDH7797887.1,186
MDI4646172.1,23
MDI5972902.1,5
MDJ0534387.1,43
MDJ0715685.1,65
MDJ1132624.1,18
MDJ1506497.1,69
MDL0131869.1,1
MDL4771497.1,36
MDM9380979.1,63
MDN2578372.1,184
MDN5215742.1,66
MDN5865769.1,12
MDO1446302.1,67
MDO8542741.1,67
MDO9539684.1,3
MDP3070039.1,68
MDP4509443.1,13
MDP9797084.1,23
MDP9819646.1,14
MDP9824679.1,16
MDQ0318512.1,189
MDQ0392450.1,185
MDQ0472535.1,195
MDQ0583812.1,4
MDQ2050959.1,1
MDQ2056096.1,1
MDQ3334687.1,157
MDQ7907325.1,20
MDR3716083.1,69
MQY15987.1,4
MRS64292.1,67
MRV75563.1,176
MRW91342.1,176
MTD54091.1,16
MTI23962.1,66
MUN28667.1,1
MUV87770.1,1
MVA46939.1,191
MVQ36854.1,23
MVT42529.1,71
MWG35602.1,1
MXQ63600.1,45
MXR42470.1,1
MXR51989.1,1
MXV63249.1,1
NBD22427.1,23
NCA74110.1,1
NDO27353.1,46
NDU94409.1,67
NEE00029.1,13
NEO84549.1,64
NER36887.1,68
NEW31071.1,14
NGM20991.1,198
NGN42533.1,183
NGO52059.1,184
NGZ86003.1,176
NHN41566.1,1
NHN48246.1,1
NIB44291.1,156
NIK25391.1,25
NJC68247.1,14
NJC81734.1,15
NJN09369.1,73
NJP46629.1,19
NKX89460.1,14
NLR59744.1,69
NMF62834.1,49
NMH78271.1,14
NMN94188.1,14
NNH72922.1,14
NOQ71000.1,65
NPA53671.1,13
NPT39594.1,146
NPU68461.1,188
NQE37713.1,56
NRB51177.1,68
NRF69842.1,147
NRN63653.1,14
NSL89351.1,69
NTA79215.1,191
NYC74585.1,52
NYD36418.1,8
NYD45891.1,32
NYE05196.1,31
NYE46139.1,28
NYJ36666.1,20
NYZ68259.1,153
OAF08199.1,187
OAM91177.1,65
OAS21694.1,23
OBQ45168.1,50
OBR50389.1,146
OBS04157.1,15
OCX15181.1,183
OEJ33994.1,12
OEV08595.1,21
OEZ61027.1,176
OFA34876.1,7
OHV40424.1,38
OHV49976.1,53
OIJ89529.1,7
OIK29143.1,4
OIN59705.1,67
OJF79344.1,32
OKH29807.1,55
OKH36006.1,59
OLR94107.1,17
OMF83256.1,23
OOQ60512.1,65
OPA77635.1,22
OQD58156.1,1
OQP45741.1,69
OQP46455.1,69
OQP65745.1,69
ORA25300.1,19
ORM92306.1,152
OUB16996.1,26
OUJ70153.1,77
OVE83791.1,1
OWJ53960.1,1
OXM84709.1,23
OXR47635.1,14
OYU89090.1,185
PAX60652.1,86
PCE26906.1,146
PHN03993.1,66
PHQ35621.1,184
PKL67631.1,1
PLP97354.1,146
PMP61773.1,10
PMP76888.1,10
PMS18293.1,146
PPK67425.1,13
PPQ36222.1,175
PRX69106.1,13
PRY02609.1,23
PRY42558.1,16
PSB33589.1,81
PSH57375.1,186
PSJ57969.1,183
PSL01053.1,22
PSL24768.1,66
PSL35438.1,69
PSL58104.1,16
PTB21980.1,146
PUB31703.1,16
PWB54992.1,1
PWB86922.1,1
PWE56279.1,193
PWR70303.1,1
PWR72709.1,1
PXY30727.1,25
PYC81953.1,13
PYE13298.1,13
PYI50409.1,23
PYQ28582.1,116
PYX49803.1,161
PZF80235.1,12
PZG01681.1,23
PZM15228.1,189
PZM63999.1,24
QBE62802.1,176
QCC51326.1,1
QCI64524.1,180
QCO02596.1,171
QCS44019.1,1
QDT06697.1,195
QDT41283.1,166
QDT90622.1,193
QDU43875.1,243
QDU94228.1,218
QDV17931.1,187
QDV38062.1,272
QDV43350.1,196
QDX39954.1,1
QDY79297.1,12
QEC76930.1,65
QED35480.1,237
QEH33038.1,248
QFR96027.1,23
QFU81893.1,1
QGQ31286.1,179
QGR18825.1,1
QGY43550.1,65
QHT69473.1,67
QID34068.1,8
QIF03059.1,77
QIG47291.1,183
QIH33112.1,65
QIL79588.1,149
QIQ02383.1,46
QJB34527.1,69
QJD83336.1,23
QJY47278.1,20
QKQ99831.1,1
QLC33584.1,1
QLC49380.1,1
QLD85504.1,1
QLD89292.1,1
QLG29186.1,1
QLG50115.1,1
QLG63710.1,1
QLH08406.1,8
QLH77644.1,1
QLO34914.1,152
QLY29731.1,14
QMU72291.1,5
QND74067.1,184
QNE74633.1,23
QNG49900.1,20
QNI11421.1,19
QNI30934.1,205
QNJ95649.1,5
QOJ78345.1,5
QOY85962.1,134
QPG51316.1,1
QPS75088.1,150
QQP89393.1,164
QRG08038.1,184
QRG65455.1,21
QSX00949.1,1
QSX19638.1,28
QSZ66857.1,7
QUH23036.1,1
QVV89762.1,1
QWA10220.1,152
QWK13141.1,8
QWK19434.1,8
QXJ24971.1,56
QYD70464.1,146
QYX34411.1,23
QYZ78829.1,7
QZY00296.1,1
RAY11981.1,19
RAZ82830.1,184
RBL93403.1,69
RBP03252.1,178
RCG18376.1,16
RCJ33689.1,53
RCR65750.1,67
RCU47479.1,1
RCW50160.1,23
RDH45784.1,153
RDH74858.1,19
RDJ38098.1,10
REE94459.1,23
REE99199.1,50
REH52198.1,13
RFM35486.1,69
RFS85669.1,57
RHW26906.1,5
RJO74777.1,14
RJQ76097.1,24
RJQ82881.1,21
RJX44211.1,1
RJX49502.1,1
RKF27093.1,23
RKN06705.1,7
RKN28828.1,23
RKN57894.1,23
RKQ87509.1,58
RKR85679.1,65
RKR90801.1,27
RLI78125.1,1
RLU96607.1,11
ROZ78179.1,153
RQG92665.1,1
RQH01853.1,1
RQH50233.1,67
RQO72448.1,65
RRJ65397.1,23
RUT01310.1,74
RUT14261.1,68
RXE56972.1,6
RXK49962.1,1
RXZ76921.1,23
RYC68056.1,67
RZT84772.1,59
RZU49700.1,14
SAK74730.1,146
SAK96309.1,146
SAL20567.1,146
SAL28272.1,146
SBV27296.1,23
SCE94951.1,23
SCL21614.1,23
SCL33593.1,23
SCL46981.1,23
SCL48913.1,23
SCL75380.1,6
SDA44165.1,1
SDC10551.1,24
SDC31900.1,13
SDF35412.1,1
SDF90845.1,1
SDG14700.1,13
SDJ26151.1,1
SDJ69546.1,4
SDM02647.1,1
SDM97954.1,1
SDO14666.1,187
SDQ23436.1,1
SDQ82279.1,1
SDQ96362.1,186
SDR24743.1,225
SDS01777.1,4
SDS68356.1,12
SDT30946.1,186
SDU37098.1,8
SDU76339.1,12
SDX91917.1,1
SDY03559.1,29
SDY36195.1,1
SDZ26780.1,22
SEA24243.1,1
SEG61805.1,37
SEH16911.1,1
SEH36523.1,1
SEK76372.1,69
SEK87536.1,1
SEL17243.1,1
SEN86831.1,187
SEP16299.1,24
SEW11162.1,1
SFB55851.1,25
SFE17232.1,25
SFF83139.1,1
SFH52245.1,1
SFK06804.1,183
SFK79257.1,17
SFM74541.1,16
SFM92234.1,1
SFR34767.1,1
SFR37002.1,1
SFR96376.1,1
SFW76189.1,24
SHF35703.1,20
SHK26567.1,146
SHM42492.1,27
SKA40955.1,162
SLM28845.1,169
SMB93492.1,49
SMF74529.1,172
SMF81833.1,23
SNQ51995.1,43
SNR35616.1,1
SNS34934.1,32
SNT54747.1,4
TAJ44918.1,7
TBM93523.1,15
TCC05374.1,9
TCP46743.1,42
TDD30307.1,9
TDD49224.1,32
TDD53760.1,9
TDD82615.1,64
TDE10488.1,66
TDE14078.1,12
TDN76740.1,16
TDP97307.1,17
TDQ65651.1,44
TGC11339.1,1
TGY96575.1,86
THE63073.1,1
THF81227.1,24
THU36951.1,69
TKC81684.1,146
TKG92402.1,65
TKR25824.1,1
TLS52240.1,22
TPG41903.1,234
TQE20613.1,4
TQI94050.1,25
TQL95094.1,19
TQM31536.1,14
TQM44289.1,14
TQM70401.1,34
TQS44798.1,30
TSD09976.1,1
TSE07397.1,64
TVP39616.1,12
TVT03895.1,17
TVY10618.1,23
TWB54600.1,159
TWD83540.1,9
TWE19797.1,9
TWE22245.1,24
TWF52840.1,187
TWP50171.1,9
TWT93987.1,172
TWU39233.1,165
TWU49789.1,162
TWU59886.1,151
TYC11920.1,32
TYL39907.1,1
TYP77613.1,23
UGQ09895.1,23
UGT63585.1,14
UHG90193.1,67
UHH12979.1,1
ULJ71436.1,187
UON83514.1,66
UOO95899.1,1
UQA57937.1,173
UQN06083.1,48
UQX56201.1,43
URI06814.1,147
USE37410.1,152
USH00791.1,1
USY23441.1,23
USZ74739.1,1
UUW87487.1,3
UUX92854.1,5
UVO29494.1,187
UWM54201.1,1
UWU50733.1,40
UWZ86329.1,171
UXD21837.1,1
UXE61786.1,52
UXM84370.1,45
UZK54134.1,23
UZR92816.1,70
WAI00799.1,6
WDD97634.1,151
WEX77610.1,195
WFN34820.1,6
WFN37748.1,6
WGV28448.1,48
WID94386.1,184
WKN46327.1,67
