ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Temperature
,,,,,525909.42,
,,,,,644736322,
,,,,,GCA_000023265,
5460,BH2,"DSM 16651, JCM 13668",1,Acidiplasma cupricumulans,1295373.3,55
,,,,,2654587522,
,,,,,2681813016,
,,,,,GCA_001316225,
,,,,,GCA_001402935,
17890,IC-180,"DSM 45281, JCM 15389",1,Aciditerrimonas ferrireducens,1294026.5,50
,,,,,2728369701,
,,,,,GCA_001311945,
133033,PMMR2,"DSM 27394, LMG 28340",1,Acidobacterium ailaaui,2558860986,15.0-55.0
,,,,,GCA_000688455,
23434,T469,DSM 19572,1,Aciduliprofundum boonei,439481.1,70
,,,,,439481.9,
,,,,,646564501,
,,,,,GCA_000025665,
,,,,,GCA_000151085,
16968,,"DSM 44433, IFO 14480, IMET 9742, INMI 187, JCM 3398, JCM 7346, ATCC 33925, BCRC 13638, KCTC 9185, NBRC 100039, NBRC 14480",1,Actinomadura viridilutea,2728369515,50
,,,,,58112.4,
,,,,,GCA_003001795,
16970,2991,"DSM 43750, ATCC 49883, IFO 15178, IMET 9705, JCM 7345, NBRC 15178, BCRC 16817, CIP 105486, IFO 15275, IMSNU 22192, INMI 2991, KCTC 9493, NBRC 15275, VKM Ac-1470",0,Actinomadura viridilutea,1220567.3,37-55
,,,,,2731957576,50
,,,,,GCA_001552235,55
23522,B71,"DSM 27982, CGMCC 1.5030, JCM 13352, CIP 109388, CGMCC 15030",1,Actinomyces ruminicola,2651870319,46
,,,,,332524.1,
,,,,,GCA_900103885,
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,Actinomyces vulturis,2791355098,Apr-55
,,,,,GCA_001687305,
133106,EBR-4-2,"KCTC 33604, JCM 30447",1,Actinotalea caeni,1348467.3,Oct-55
,,,,,2890385099,
,,,,,GCA_009733795,
158560,N.8,"KCTC 33824, JCM 31580",1,Aeribacillus composti,1868734.3,50-65
,,,,,2802428823,55
,,,,,GCA_007827555,60
1766,T6,"DSM 22365, LMG 21773, NCIMB 13939, JCM 15959",1,Aeriscardovia aeriphila,218139.3,30-46
,,,,,218139.4,
,,,,,2788500099,
,,,,,2824784629,
,,,,,GCA_002259595,
,,,,,GCA_013408435,
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,Aeromonas sanarellii,2639763092,50
,,,,,633415.3,
,,,,,GCA_000820085,
4196,SY1,"DSM 16960, ATCC BAA-758, JCM 12091",1,Aeropyrum camini,1198449.12,70-97
,,,,,1198449.6,85
,,,,,2554235461,
,,,,,2675903482,
,,,,,GCA_000591035,
,,,,,GCA_001316065,
4195,K1,"DSM 11879, JCM 9820, ATCC 700893, NBRC 100138",1,Aeropyrum pernix,272557.25,102
,,,,,2923402010,68
,,,,,GCA_000011125,70-100
,,,,,,90
,,,,,,90-95
159185,Dysh456,"DSM 105662, NBRC 112897",1,Aerosticca soli,GCA_003967035,13-48
13650,FRR-10,"DSM 12048, ATCC BAA-387",1,Albidovulum inexpectatum,196587.4,50
,,,,,2593339279,
,,,,,GCA_002927635,
167490,XY-J91,"MCCC 1K03612, KCTC 72216",1,Algoriphagus kandeliae,GCA_004571135,15-50
,,,,,SPSB00000000,55
414,TA-67,"DSM 14558, IAM 14935, NRIC 0496, JCM 21417, CIP 107723, NBRC 100859, NRIC 6496",1,Alicyclobacillus acidiphilus,1255277.3,20-55
,,,,,2731957568,50
,,,,,GCA_001544355,
416,"104-IA, 104-1A","CCUG 28521, NRRL B-14509, DSM 446, ATCC 27009, CIP 106131, IFO 15652, JCM 5260, NBRC 15652, NCIB 11725, BCRC 14685, CECT 4328, KCTC 1825, NCIMB 11725, IMET 11356",1,Alicyclobacillus acidocaldarius subsp. acidocaldarius,521098.3,45-55
,,,,,521098.31,55
,,,,,521098.32,56
,,,,,521098.5,60
,,,,,644736325,
,,,,,GCA_000024285,
400,GD3B,"DSM 3922, ATCC 49025, CIP 106132",1,Alicyclobacillus acidoterrestris,1356854.4,25-55
,,,,,2558860250,50
,,,,,GCA_000444055,
,,,,,GCA_022674245,
158167,Sueoka,"DSM 107339, JCM 18487, KCTC 33007",1,Alicyclobacillus cellulosilyticus,1003997.3,55
,,,,,GCA_014647315,
,,,,,GCA_020521335,
429,3-A191,"DSM 17975, IAM 15224, JCM 21678, NBRC 103102",1,Alicyclobacillus contaminans,1120971.3,35-60
,,,,,2524023143,50
,,,,,GCA_000429525,50-55
,,,,,,55
413,CP-1,"DSM 13609, IAM 14883, NRIC 0477, JCM 21376, NBRC 100860",1,Alicyclobacillus herbarius,1120972.3,55
,,,,,2523533552,
,,,,,GCA_000430585,
411,FR-11,"DSM 12489, CIP 107290",1,Alicyclobacillus hesperidum subsp. hesperidum,2634166329,37-55
,,,,,89784.3,50
,,,,,GCA_900107035,55
431,5-A83J,"DSM 17979, IAM 15227, JCM 21681, NBRC 103104",1,Alicyclobacillus kakegawensis,1220571.3,40-60
,,,,,2731957595,50
,,,,,GCA_001552655,50-55
,,,,,,55
432,5A-239-2O-A,"DSM 17980, IAM 15370, JCM 21814",1,Alicyclobacillus macrosporangiidus,2675903231,35-60
,,,,,392015.5,50
,,,,,GCA_900116805,50-55
158721,USBA-GBX-503,"CMPUJ UGB U503, CBMAI 1927",1,Alicyclobacillus montanus,GCA_900142255,25-55
424,"3A, 3AT","DSM 14955, IAM 14988, JCM 21459, CIP 108162, NBRC 100861",1,Alicyclobacillus pomorum,1111479.4,37-55
,,,,,2513237116,
,,,,,GCA_000472905,
428,RB-718,"DSM 17974, IAM 15230, JCM 21684, NBRC 103105",1,Alicyclobacillus sacchari,2756170229,30-55
,,,,,392010.3,45-50
,,,,,GCA_004366795,50
427,NTAP-1,"DSM 17614, ATCC BAA-609, JCM 11817, KCTC 3843, NBRC 100866",1,Alicyclobacillus sendaiensis,1220572.3,50
,,,,,2731957596,55
,,,,,GCA_001552675,
433,4A-336,"DSM 17981, IAM 15226, JCM 21680, NBRC 103103",1,Alicyclobacillus shizuokensis,1220573.3,35-60
,,,,,2731957577,45-50
,,,,,GCA_001552255,50
130150,ACK006,"DSM 25924, KCTC 33022",1,Alicyclobacillus tengchongensis,2926538093,50
425,CsHg2,DSM 16176,1,Alicyclobacillus vulcanalis,252246.3,35-65
,,,,,2681813550,55
,,,,,GCA_900156755,
158477,BM62,"DSM 101851, CGMCC 1.15790",1,Aliibacillus thermotolerans,GCA_027853235,50
549,ISL-17,"DSM 23520, CCUG 56753, KCTC 13258, ISL -17",1,Alkalibacillus flavidus,2928986558,Oct-55
535,WN 13,"DSM 5271, ATCC 700606, JCM 12303, CIP 106702, IAM 14937, LMG 17943, NBRC 103110",1,Alkalibacillus haloalkaliphilus,94136.4,55
,,,,,GCA_007991275,
2246,T143-1-1,"DSM 19183, NBRC 103242, NRIC 0719",1,Alkalibacterium pelagium,2619619008,10-47.5
,,,,,426702.5,
,,,,,426702.6,
,,,,,GCA_007991315,
,,,,,GCA_900109325,
1235,6AG,"DSM 15402, ATCC BAA-957",1,Alkalicoccus saliphilus,2889707501,Apr-50
,,,,,GCA_003044065,Oct-50
572,1,"DSM 485, ATCC 27647, JCM 5262, NCIB 10436, NCIB 8772, NCTC 4553, CCUG 28516, NRRL B-14309, BCRC 15419, CECT 1, CGMCC 1.3604, CIP 103410, IAM 12461, IFO 15653, KCTC 1824, KCTC 3884, LMG 17938, LMG 7120, NBRC 15653, NCIMB 10436, NCIMB 8772, NRRL NRS-1548, VTT E-87298",1,Alkalihalobacillus alcalophilus,1218173.3,46
,,,,,1218173.9,55
,,,,,2519899572,
,,,,,GCA_000292245,
,,,,,GCA_004802515,
1109,"C 324, PN 3","DSM 8715, ATCC 700159, NCIB 10283, CIP 105299, NCIMB 10283",1,Alkalihalophilus pseudofirmus,GCA_029094545,55
166505,34079,"KCTC 62428, MCCC 1K03493",1,Alkalilacustris brevis,GCA_003350345,Oct-50
160006,"GLDI 4/2, GLDI4/2","DSM 106019, JCM 32430",1,Alloscardovia theropitheci,2867453920,0-46
,,,,,GCA_004332295,
133062,,"DSM 42178, CGMCC 4.7247, YIM DR4008",1,Allostreptomyces psammosilenae,1892865.3,Oct-50
,,,,,2823648918,
,,,,,GCA_013407765,
133228,100921-2,"CFCC 14287, KCTC 42844",1,Tsuneonella aeria,2915148944,Apr-50
,,,,,GCA_009827495,
158616,S35,"KCTC 52449, CGMCC 1.16029",1,Alteromonas oceani,2855655360,50
,,,,,GCA_003731635,
17782,ILE-2,"DSM 16581, JCM 14039",1,Aminiphilus circumscriptus,1304874.3,25-55
,,,,,2541046957,
,,,,,GCA_000526375,
16789,KC4,DSM 10501,1,Ammonifex degensii,429009.21,70
,,,,,429009.3,
,,,,,646311904,
,,,,,GCA_000024605,
16790,SR,"DSM 19636, VKM B-2461",1,Ammonifex thiophilus,2831524987,60-82
,,,,,GCA_003368535,70
,,,,,,75
11378,RAOx-1,"DSM 11538, ATCC 700649, HAMBI 2283, CIP 105538",1,Ammoniphilus oxalaticus,2831905167,55
,,,,,66863.3,
,,,,,GCA_003609605,
1408,JW/BP-GSL-QD,"DSM 23721, ATCC BAA-2118, NBRC 11149",1,Amphibacillus cookii,2901114716,14.5-47.0
,,,,,767787.3,>49.0
,,,,,GCA_016908375,
1407,Y1,"DSM 24783, CGMCC 1.5123, JCM 16149",1,Amphibacillus jilinensis,2547132169,50
,,,,,562743.4,
,,,,,GCA_000306965,
23742,J1,"DSM 27991, CGMCC 1.10434, JCM 17099",1,Amphibacillus marinus,2617270769,Jul-55
,,,,,872970.3,
,,,,,GCA_900110345,
1406,Shu-P-Ggiii25-2,"DSM 21624, IAM 15428, JCM 23213, KCTC 13120, MBIC 08269, NBRC 103570",1,Amphibacillus sediminis,1220586.4,17.0-55.0
,,,,,2731957578,60
,,,,,GCA_001552275,
1403,Ep01,"DSM 6626, ATCC 51415, IFO 15112, JCM 7361, NBRC 15112, LMG 17667",1,Amphibacillus xylanus,2524023219,50
,,,,,698758.3,
,,,,,GCA_000307165,
140072,GU51,"DSM 105738, CGMCC 1.12710, JCM 19779",1,Amphiplicatus metriothermophilus,1519374.3,50
,,,,,1519374.5,
,,,,,2737472027,
,,,,,2828471905,
,,,,,GCA_014199495,
,,,,,GCA_900199215,
133703,GY307,"NCIMB 14709, NRRL B-24844, DSM 45669",1,Amycolatopsis granulosa,185684.3,20-50
,,,,,2821246215,
,,,,,GCA_011758745,
13267,Ms392A,"DSM 45569, CGMCC 4.3568, NBRC 104263, JCM 16121",1,Amycolatopsis marina,2667527405,Oct-55
,,,,,490629.6,
,,,,,GCA_900111885,
13276,GY088,"DSM 45805, NCIMB 14699, NRRL B-24836",1,Amycolatopsis thermophila,2926647115,Oct-50
13269,ABO,"DSM 45259, BCCM 24814, LMG 24814, JCM 17017",1,Amycolatopsis tucumanensis,GCA_021654135,15-55
13277,GY 115,"DSM 45668, NCIMB 14700, NRRL B-24837",0,Amycolatopsis viridis,185678.3,Oct-50
,,,,,2821236178,
,,,,,GCA_011758765,
17964,PAOHA-1,"DSM 14826, UNIQEM 227",1,Anaerobranca californiensis,1120989.3,45-70
,,,,,2585428191,58
,,,,,GCA_900142275,60
17963,LBS3,DSM 13577,1,Anaerobranca gottschalkii,1120990.3,50
,,,,,2602042032,
,,,,,GCA_900111575,
502,IMO-1,"DSM 16554, JCM 12577",1,Anaerolinea thermolimosa,229919.9,50
,,,,,GCA_001050195,55
501,UNI-1,"DSM 14523, JCM 11388",1,Anaerolinea thermophila,649633005,55
,,,,,926569.3,60
,,,,,GCA_000199675,
17810,Fru22,"DSM 12881, OCM 798",1,Anaerophaga thermohalophila,2515154051,50
,,,,,886379.4,
,,,,,GCA_000191885,
6340,35-7,"DSM 22094, JCM 17466, LMG 24724",1,Anaerostipes butyraticus,645466.3,35-47
,,,,,GCA_016586355,
11380,Murayama,"DSM 5562, ATCC 12856, CIP 104007, IAM 1077, IFO 15521, JCM 9024, NBRC 15521, NRS 1589, LMG 15531, LMG 16001, NRRL NRS-1589",1,Bacillus aneurinilyticus,2563366762,30-55
,,,,,649747.3,
,,,,,GCA_000466385,
11401,"R-12870, B-1599","DSM 18919, CIP 108308, KCTC 13001, LMG 22483, Logan B-1599",1,Aneurinibacillus terranovensis,1121002.4,20-55
,,,,,2524614808,55
,,,,,GCA_000430625,
11398,"L 420-91, L420-91","DSM 10154, CIP 104816, LMG 17165",1,Aneurinibacillus thermoaerophilus,143495.3,45-55
,,,,,2634166356,55
6140,,"DSM 4255, ATCC 43788",1,Annwoodia aquaesulis,2765235834,30-55
560,MR3C,"DSM 15939, ATCC BAA-872, CIP 108338, CIP 108305",1,Anoxybacteroides amylolyticum,2690315950,37-55
,,,,,2802428824,60
,,,,,294699.3,
,,,,,294699.5,
,,,,,294699.6,
,,,,,GCA_001634285,
555,"R-35652, SF03","DSM 15730, ATCC BAA-818, LMG 26209",1,Anoxybacillus caldiproteolyticus,247480.4,55
,,,,,2861199460,
,,,,,GCA_013761245,
23586,C161ab,"DSM 25220, NCIMB 14851",1,Anoxybacillus calidus,2861223213,55
,,,,,575178.3,
,,,,,GCA_013760845,
565,E-112,"DSM 23212, CCTCC AB 209236, KCTC 13720",1,Anoxybacillus eryuanensis,2861220268,35-70
,,,,,,50
,,,,,,55
550,d.y.,"DSM 2641, BCRC 17265, LMG 18397, NBRC 15317, CCUG 56041, IFO 15317",1,Anoxybacillus flavithermus subsp. flavithermus,643348508,56
,,,,,,60
,,,,,,60-65
,,,,,,72
551,"BF, WK1",DSM 21510,0,Anoxybacillus flavithermus subsp. flavithermus,2816332606,55
,,,,,491915.6,
,,,,,GCA_000019045,
140522,GSsed3,"CCOS 808, ATCC BAA-2555",1,Anoxybacteroides geothermale,2639762962,40-65
,,,,,,60
553,JW/VK-KG4,"DSM 14988, ATCC BAA-549",1,Anoxybacillus kamchatkensis,196180.5,55
,,,,,2861196614,
,,,,,GCA_013761015,
169703,K1,"DSM 106524, KCTC 15807",1,Anoxybacillus karvacharensis,GCA_001996285,55
561,T4,"DSM 19169, VKM 2407, VKM B-2407",1,Anoxybacillus mongoliensis,2861210538,50
,,,,,452565.7,
,,,,,GCA_014201515,
552,K1,"DSM 12423, ATCC 700785, VKM B-2193",1,Anoxybacillus pushchinoensis,2654588147,60
,,,,,GCA_900111795,
562,R270,"DSM 17127, NBIMCC 8387",1,Anoxybacteroides rupiense,2829828734,55
,,,,,311460.3,
,,,,,GCA_014196195,
,,,,,GCA_029077325,
567,A343,"DSM 22626, NCIMB 14579",1,Anoxybacillus gonensis,GCA_024464675,60
130160,JS1,"DSM 27374, JCM 19211, LMG 27616",0,Anoxybacillus sp.,1325335.3,50
,,,,,2615840616,
,,,,,GCA_001418025,
,,,,,GCA_001517225,
160595,DT3-1,DSM 28778,0,Anoxybacillus sp.,690871.3,55
160596,SK3-4,DSM 28779,0,Anoxybacillus sp.,654421.3,55
566,"T-11, T11","DSM 23211, CCTCC AB 209237, KCTC 13721",1,Anoxybacillus tengchongensis,2861217274,30-75
,,,,,576944.3,50
,,,,,GCA_014201585,
556,"GS5-97, R-35643","DSM 16325, ATCC BAA-942",1,Anoxybacteroides tepidamans,265948.4,55
,,,,,2861206899,
,,,,,GCA_014201465,
564,AF/04,"DSM 17141, ATCC BAA-1156",1,Anoxybacillus thermarum,2648501677,55
,,,,,404937.3,
,,,,,GCA_000836725,
133999,3nP4,"CGMCC 1.8979, JCM 16594",1,Paranoxybacillus vitaminiphilus,2718217676,38-66
,,,,,581036.3,55
,,,,,GCA_003259935,58.5
557,TH 13,"DSM 17075, JCM 12111, NCIMB 13956",1,Anoxybacteroides voinovskiense,230470.4,30-64
,,,,,230470.5,50
,,,,,2829825107,54
,,,,,GCA_014196205,
,,,,,GCA_014646615,
130818,DY22613,"DSM 28033, JCM 19466, MCCC 1A06456",1,Anoxybacter fermentans,2837169743,60
,,,,,GCA_003991135,
17443,,"DSM 16957, JCM 12896, MTCC 6713, GPTSA 20, CIP 108872",1,Aquimonas voraii,2622736515,55
,,,,,265719.9,
,,,,,GCA_900101825,
1547,SH4s,"DSM 18090, CCM 7366, CECT 7149",1,Aquisalibacillus elongatus,2786546167,20-55
,,,,,485577.3,
,,,,,GCA_003843875,
4301,,"DSM 18102, CCM 7368, CECT 7151, CGMCC 1.6291, CG 12, CIP 109713",1,Aquisalimonas asiatica,2617270766,20-50
,,,,,406100.9,
,,,,,GCA_900110585,
18096,VC-16,"DSM 4304, ATCC 49558, JCM 9628, NBRC 100126",1,Archaeoglobus fulgidus,224325.1,80
,,,,,638154502,85
,,,,,GCA_000008665,
132693,7324,DSM 8774,0,Archaeoglobus fulgidus,1344584.3,80
,,,,,2528311132,
,,,,,2588253768,
,,,,,GCA_000734035,
167621,SE56,"DSM 110954, VKM B-3474",1,Archaeoglobus neptunius,GCA_016757965,80
18097,AV18,"DSM 5631, JCM 9629, NBRC 100127",1,Archaeoglobus profundus,572546.12,80
,,,,,572546.16,85
,,,,,646311906,
,,,,,GCA_000025285,
18100,PM70-1,"DSM 19444, JCM 14716",1,Archaeoglobus sulfaticallidus,2522125074,60
,,,,,387631.5,75
,,,,,GCA_000385565,80
18098,SNP6,DSM 11195,1,Archaeoglobus veneficus,2504136002,75
,,,,,693661.9,
,,,,,GCA_000194625,
24797,110S,"DSM 23922, ATCC BAA-2145, JCM 17282, KCTC 23289, NBRC 107679",1,Ardenticatena maritima,2651869644,30-75
,,,,,2671180960,62.5
,,,,,872965.11,65
,,,,,GCA_001293545,
,,,,,GCA_001306175,
132416,NAS-01,"DSM 28954, JCM 19762",1,Athalassotoga saccharophila,1441386.9,30-60
,,,,,2883451585,55
,,,,,GCA_009936215,
167820,,"KCTC 62259, CFH 70021, CCTCC AB 2018121",1,Azospirillum thermophilum,CP029352,15.0-50.0
,,,,,CP029353,50
,,,,,CP029354,
,,,,,CP029355,
,,,,,GCA_003130795,
1260,TM1,"DSM 19092, CIP 108784, JCM 12523, KCTC 10634",1,Bacillus alveayuensis,2926480455,40-65
,,,,,,55
598,F,"DSM 7, ATCC 23350, CCUG 28519, NRRL B-14393, Fukumoto strain F, CIP 103265, LMG 9814, NRRL : B-14393",1,Bacillus amyloliquefaciens,GCA_000196735,55
,,,,,,>50
166186,,"KCTC 33954, CGMCC 1.13871, SYSU K30001",1,Ectobacillus antri,GCA_003852715,28-55
1077,,"DSM 7264, ATCC 49337, NRRL NRS-213, CCUG 28524, JCM 9070, CIP 107159, IFO 15539, KCTC 3701, LMG 16797, NBRC 15539, NCIMB 12899",1,Bacillus atrophaeus,1220587.3,50-55
,,,,,2731957673,55
,,,,,GCA_001584335,
,,,,,GCA_001591925,
1074,"1221A, NRS-1221 A","DSM 675, ATCC 9372, CIP 77.18, IFO 13721, NBRC 13721, NCDO 738, NCIB 8058, NRS 1221A, NCIMB 8058",0,Bacillus atrophaeus,2547132205,55
,,,,,2547132227,
,,,,,720555.4,
,,,,,720556.3,
,,,,,720557.3,
,,,,,720558.3,
,,,,,723892.3,
,,,,,876283.3,
,,,,,903520.3,
,,,,,GCA_000204705,
602,"663, Henry 110, 110, NRS-663","DSM 23, ATCC 14574, CCM 2113, NCIB 9364, NCTC 10333, CCUG 7412, CIP 58.52, IAM 11059, NRS 663, JCM 12228, BCRC 11699, CECT 17, HAMBI 1885, IFO 15713, KCTC 3739, LMG 7122, MTCC 1458, NBIMCC 2210, NBRC 15713, NCFB 1760, NCIMB 9364, NRRL NRS-663, VKM B-496, NCDO 1760",1,Bacillus badius,1348627.3,55
,,,,,1455.5,
,,,,,2636415587,
,,,,,2731957658,
,,,,,GCA_000829535,
,,,,,GCA_001591605,
1069,B1,"DSM 5391, ATCC 49005, CCM 3364, LMD 79.7, NCIB 12555, CIP 103477, LMG 9582, NCIMB 12555",1,Bacillus benzoevorans,1456.3,55
,,,,,2861430565,
,,,,,GCA_014207535,
158610,7578-1,"CGMCC 1.15374, KCTC 33845",1,Heyndrickxia camelliae,GCA_002844575,20-55
624,"13, 971, Ford 13, Gibson 971","DSM 31, ATCC 14579, CCM 2010, LMG 6923, NCIB 9373, NCTC 2599, CCUG 7414, JCM 2152, BCRC 10603, BCRC 11026, CECT 148, CECT 5050, CGMCC 1.3760, CIP 66.24, HAMBI 1887, IAM 12605, IAM 14174, IFO 15305, KCTC 3624, NBRC 15305, NCAIM B.02078, NCCB 75008, NCFB 1771, NCIMB 9373, NRRL B-3711, VKM B-504, VTT E-93143",1,Bacillus cereus,1396.2169,55
,,,,,1396.725,
,,,,,226900.113,
,,,,,226900.8,
,,,,,226900.82,
,,,,,637000017,
,,,,,GCA_000007825,
,,,,,GCA_006094295,
,,,,,GCA_900445355,
622,F 4433/73,"DSM 4313, NCTC 11145, CCUG 6514, CIP 106508, ATCC 49064",0,Bacillus cereus,1396.2855,55
,,,,,GCA_018221725,
1154,"K 13, K13","DSM 12751, JCM 9943, ATCC 700778, CGMCC 1.3650, CIP 105746, KCTC 3838, LMG 18497",1,Bacillus horti,2926514369,50
,,,,,,55
158629,Ma50-5,"KCTC 33881, CCTCC AB 2017020",1,Bacillus kexueae,GCA_022809095,40-60
,,,,,,50
689,"Gibson 46, 46, 1264","DSM 13, ATCC 14580, CCM 2145, IFO 12200, NBRC 12200, NCIB 9375, NCTC 10341, WDCM 00068, CCUG 7422, JCM 2505, BCRC 11702, CECT 20, CGMCC 1.3649, CIP 52.71, IAM 13417, KCTC 1753, KCTC 1918, LMG 6933, NCFB 1772, NCIMB 9375, NRRL NRS-1264, VKM B-511, LMG 12363, NCDO 1772",1,Bacillus licheniformis,1402.266,22-55
,,,,,1402.297,
,,,,,279010.12,
,,,,,279010.13,
,,,,,GCA_000008425,
,,,,,GCA_000011645,
,,,,,GCA_006094335,
,,,,,GCA_900637645,
697,"1.1B, 1.1.B","DSM 12369, CIP 108208",0,Bacillus licheniformis,1648923.82,22-55
,,,,,GCA_007831315,
134785,,"CIP A156, NCTC 6816",0,Bacillus licheniformis,1402.351,55
,,,,,GCA_007832035,
1093,RO-H-1,"DSM 9205, ATCC 51516, NRRL B-14698, JCM 12230, BCRC 17124, CIP 104095, IFO 15718, KCTC 3706, LMG 17797, NBRC 15718, NCIMB 13391, VTT E-011771",1,Bacillus mojavensis,1051501.3,50-55
,,,,,1051501.5,
,,,,,2545555827,
,,,,,2579778565,
,,,,,GCA_000245335,
,,,,,GCA_000507105,
,,,,,GCA_014499005,
1153,WS 2480,"DSM 11821, CCM 4872, CCUG 58725, LMG 18989, CIP 105772, KCTC 3975, WSBC 10204, WDCM 00222",0,Bacillus mycoides,1220585.4,55
,,,,,86662.17,
,,,,,GCA_000513155,
1103,"PN 137, DP44","DSM 8725, ATCC 700166, CIP 105304",1,Alkalihalobacillus pseudalcaliphilus,2630968651,55
,,,,,79884.3,
,,,,,GCA_001038565,
1151,,"DSM 12442, NRRL B-617, JCM 12231, CIP 105700, LMG 18993, KCTC 3862, NBRC 101232, BCRC 17606, BCRC 17107",1,Bacillus pseudomycoides,527000.3,55
,,,,,643886172,
,,,,,GCA_000161455,
1264,FO-36b,"DSM 19292, ATCC BAA-1126, LMG 26769, NBRC 100820, CIP 109412",1,Bacillus safensis subsp. safensis,1178541.1,50
,,,,,1178541.5,
,,,,,2576861488,
,,,,,GCA_000691165,
,,,,,GCA_003097715,
166417,,"LMG 30124, CECT 9344, BC 09",1,Bacillus safensis subsp. osmophilus,2163013.3,May-55
,,,,,GCA_003254445,
1302,PD-A10,"DSM 25261, BCC 22614, KACC 16244, KCTC 13613, CIP 110217",1,Bacillus siamensis,1177185.3,Apr-55
,,,,,2548877022,
,,,,,GCA_000262045,
815,NRS-173,"DSM 4216, IFO 15311, NBRC 15311, NRRL NRS-173, CCUG 27413, LMG 12526, JCM 9076, CGMCC 1.3752, CIP 103790",1,Bacillus smithii,1220590.3,55
,,,,,1479.5,56
,,,,,1479.9,
,,,,,2654588021,
,,,,,2681812984,
,,,,,GCA_001050115,
,,,,,GCA_001591985,
1201,"L87-10, TG8-8","DSM 13779, NRRL B-23154, JCM 12232, CIP 107271, KCTC 13918, NBRC 101234",1,Bacillus sonorensis,1220591.4,22-55
,,,,,1220591.6,55
,,,,,2571042128,
,,,,,2731957676,
,,,,,GCA_000507125,
,,,,,GCA_001592005,
1193,TU-B-10,"DSM 15029, NRRL B-23049, JCM 12233, CIP 106094, LMG 19156, NBRC 101239",1,Bacillus spizizenii,2511231064,55
,,,,,96241.37,
,,,,,GCA_000227465,
,,,,,GCA_007989785,
