"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","16S seq. accession number",GC-content
16,21F-2,"DSM 15550, IFO 16606, NBRC 16606, NRIC 0481, JCM 11195, CIP 107379",1,"Acetobacter orientalis",1231341.3,AB052706,52.3
,,,,,146474.10,AB681086,
,,,,,2899144674,,
,,,,,GCA_000963965,,
,,,,,GCA_007989335,,
8,,"DSM 4492, ATCC 12876, CCUG 18126, IMET 10752, LMD 31.3, LMG 1282, LMG 1583, NCIMB 8622, PDDCC 8809, KCTC 12329, JCM 7639, BCRC 11568, CCM 3610, ICMP 8809, IFO 13752, NBRC 13752, NCCB 31003, VTT E-042463",1,"Acetobacter orleanensis",104099.3,AB032350,56.5
,,,,,104099.5,AB665076,56.8
,,,,,104099.6,AB680506,
,,,,,1231342.3,AJ419845,
,,,,,2728368908,JF793962,
,,,,,2854545835,JF793963,
,,,,,435.10,,
,,,,,438.25,,
,,,,,GCA_000964205,,
,,,,,GCA_001581005,,
163947,,"JCM 31096, KACC 19301, LMG 31327",1,"Acetobacter oryzifermentans",GCA_001628715,KP205434,52.4
,,,,,,KR025515,
164536,,"JCM 33371, KACC 21201",1,"Acetobacter oryzoeni",GCA_004014775,MK367404,53.1
163331,,"JCM 25143, KACC 19722, LMG 26456, NBRC 111466, NRIC 0655",1,"Acetobacter papayae",1234671.3,AB665066,60.5
,,,,,2582581005,AB936620,
,,,,,GCA_000613285,,
4,190,"DSM 3509, ATCC 33445, LMD 22.1, JCM 7640, BCRC 14145, CCM 2374, CCUG 18125, CGMCC 1.1810, CIP 103108, ICMP 8808, LMG 1262, NBRC 106471, NCCB 22001, NCIMB 12228, VTT E-97830, IMET 10733",1,"Acetobacter pasteurianus",2529293253,AB003973,52.7
,,,,,2548876776,AB003974,53.2-54.3
,,,,,2915977242,AB003975,
,,,,,438.30,AB680026,
,,,,,940265.3,AB682450,
,,,,,940265.4,GQ240636,
,,,,,940265.9,GQ240637,
,,,,,GCA_000285275,JF793964,
,,,,,GCA_003332155,X71863,
,,,,,GCA_003850805,,
24,"L. 1374","DSM 2347, ATCC 12874, NCIB 8618, IFO 13755, JCM 25077, ATCC 12784, BCRC 12954, CCM 3615, CCUG 18131, KACC 19721, LMG 1635, NBRC 13755, NCCB 88049, NCCB 89009, NCIMB 8618, NRIC 0475",0,"Acetobacter pasteurianus",104098.10,AB032352,59.7
,,,,,104098.11,AB665082,60.3
,,,,,104098.9,AB680509,62.5
,,,,,2596583685,GQ240639,
,,,,,GCA_006539345,JF793969,
,,,,,GCA_008125125,LC108745,
,,,,,GCA_011516745,,
135988,A35,"CIP 103001, IAM 1811, IFO 3299, JCM 20274, LMG 1553, NBRC 3299",0,"Acetobacter pasteurianus",1226665.3,AB003972,52.6
,,,,,2901799356,AB680052,
,,,,,GCA_003850965,,
163337,,"JCM 25330, KACC 19724, LMG 26458, NBRC 111468, NRIC 0961",1,"Acetobacter persici",1236503.3,AB665070,58.7
,,,,,2579778724,AB936623,
,,,,,GCA_000613905,AB936624,
11,,"DSM 11825, LTH 2458, CIP 105762",1,"Acetobacter pomorum",2828617574,AJ001632,50.5
,,,,,65959.23,JF793971,50.50
21,CWBI-B418,"DSM 18889, LMG 23690",1,"Acetobacter senegalensis",2728368907,AM748710,56.0
,,,,,446692.4,AY883036,56.00
,,,,,GCA_001580995,HG424424,
14,9H-2,"DSM 15548, IFO 16604, JCM 11197, NBRC 16604, NRIC 0483, CIP 107378",1,"Acetobacter syzygii",1231343.3,AB052712,55.3
,,,,,146476.13,AB665078,
,,,,,2905254764,AB681084,
,,,,,GCA_000964225,,
,,,,,GCA_007989285,,
17,,"DSM 15551, IFO 16470, NBRC 16470, NRIC 0312, JCM 10947, BCRC 17166, LMG 19825",1,"Acetobacter tropicalis",104102.10,AB032354,55.9
,,,,,104102.11,AB032355,
,,,,,104102.29,AB681066,
,,,,,2667527850,,
,,,,,2724679595,,
,,,,,GCA_000787635,,
,,,,,GCA_001580915,,
,,,,,GCA_007989245,,
5409,"Z-4391, Z-S11","DSM 8239",1,"Acetobacterium bakii",2654587740,X96960,41.2
,,,,,52689.10,,
,,,,,52689.11,,
,,,,,GCA_001263355,,
,,,,,GCA_008086625,,
5407,"Z-4092, Z-B12","DSM 8237",1,"Acetobacterium paludosum",52693.4,X96958,41.7
,,,,,GCA_008086595,,
5401,C,"DSM 1911, ATCC 43740, JCM 2380",1,"Acetobacterium wieringae",2690315663,X96955,43.0
,,,,,52694.3,,
,,,,,GCA_001766835,,
5402,,"DSM 1030, ATCC 29683, JCM 2381, WB 1",1,"Acetobacterium woodii",2512047040,DQ834681,39.0
,,,,,931626.3,X96954,
,,,,,GCA_000247605,,
131580,RL-C,"DSM 24657, CGMCC 1.5173, JCM 17603",1,"Acetobacteroides hydrogenigenes",2731639222,AB611036,51.2
,,,,,979970.3,,
,,,,,GCA_004340205,,
5978,Z-7288,"DSM 5501, ATCC 49924",1,"Acetohalobium arabaticum",574087.3,L37422,33.6
,,,,,648028002,X89077,
,,,,,GCA_000144695,,
17777,NGA,"DSM 13181, ATCC BAA-54, JCM 12221",1,"Acetomicrobium mobile",2509601011,AB910748,51.5
,,,,,891968.3,AJ243189,
,,,,,GCA_000266925,,
17778,RWcit2,"DSM 13490, ACM 5076",1,"Acetomicrobium thermoterrenum",1120987.3,U50711,44
,,,,,2544872.3,,
,,,,,2599185146,,
,,,,,GCA_900107215,,
17111,APO-1,"DSM 6540, ATCC 51454",1,"Acetonema longum",1009370.3,AJ010964,51.5
,,,,,651324002,,
,,,,,GCA_000219125,,
159212,N93,"DSM 106692, NCTC 14351, ATCC TSD-139",1,"Acholeplasma equirhinis",GCA_017052655,EU925159,36.83
,,,,,,FJ226562,
,,,,,,GU905035,
140509,,"LMG 3411, CCUG 62454",1,"Achromobacter agilis",1353888.3,HG324050,66.4
,,,,,2882181859,,
,,,,,GCA_900496965,,
133323,AVA-1,"LMG 29108, NBRC 111463, PCU 352, TISTR 2383",1,"Achromobacter aloeverae",2881412998,LC094463,66.5
,,,,,GCA_004121055,,
140506,,"LMG 3458, CCUG 62433",1,"Achromobacter deleyi",1353891.6,HG324053,66.8
,,,,,GCA_902859705,,
318,"12, 55B","DSM 30026, ATCC 15173, NCTC 8582, CCUG 407, LMG 1231, CIP 77.15, JCM 5490, LMG 3510, CECT 449, BCRC 12838, BCRC 14342, CCM 3427, CGMCC 1.1800, IAM 12370, IFO 15125, JCM 9657, NBRC 15125, NCIMB 11961, VTT E-991293, NCIB 11961",1,"Achromobacter denitrificans",1255278.4,AB680772,68.8-69.4
,,,,,2731957627,AJ278451,
,,,,,2811995195,FM999734,
,,,,,32002.30,JQ746422,
,,,,,32002.36,M22509,
,,,,,32002.39,Y14907,
,,,,,GCA_001571365,,
,,,,,GCA_900444675,,
,,,,,GCA_902859715,,
322,,"DSM 23807, CCUG 47057, LMG 6003, CIP 108202, API 201-3-84, Gilardi 3038",1,"Achromobacter insolitus",217204.13,AY170847,64.9
,,,,,217204.3,JQ746423,
,,,,,217204.5,,
,,,,,2751185845,,
,,,,,2855745187,,
,,,,,GCA_001971645,,
,,,,,GCA_002209555,,
,,,,,GCA_902859615,,
140507,,"CCUG 62449, LMG 3441",1,"Achromobacter kerstersii",1353890.3,HG324052,63.7
,,,,,2921339674,,
,,,,,GCA_902859595,,
140854,B2,"CCUG 56371, CCM 7608, CECT 7342, LMG 26219, CIP 110817",1,"Achromobacter marplatensis",2770939588,JQ746424,65.4
,,,,,470868.5,,
,,,,,470868.6,,
,,,,,GCA_003315095,,
,,,,,GCA_902859635,,
140508,,"LMG 3431, CCUG 61959, ATCC 15445",1,"Achromobacter pestifer",1353889.3,HG324051,63.8
,,,,,2921347846,,
,,,,,GCA_902859625,,
320,366-5,"DSM 10342, ATCC 43552, CIP 60.75, IAM 12591, LMG 1873, JCM 20668, CGMCC 1.10399, NBRC 102461, NCTC 11970, CCUG 724, NBIMCC 557, Hugh 366-5",1,"Achromobacter piechaudii",1216977.3,AB010841,65
,,,,,2681812971,AB681803,
,,,,,72556.17,JQ746425,
,,,,,GCA_001571245,,
,,,,,GCA_902859685,,
309,,"DSM 653, ATCC 15749, CCUG 38886, LMG 1866, JCM 20676, CGMCC 1.10394, CIP 77.26, IAM 12600, IAM 12693, IAM 12694, JCM 20751, JCM 20752, NCIMB 11475, VKM B-1333, CCM 7494",1,"Achromobacter ruhlandii",72557.63,AB010840,66.2
,,,,,GCA_902859695,JQ746426,67.7
323,,"CIP 108199, DSM 23806, CCUG 47062, LMG 5911, API 198-2-84",1,"Achromobacter spanius",217203.10,AY170848,64.9
,,,,,217203.24,JQ746427,
,,,,,2802429335,MN526952,
,,,,,GCA_002812705,,
,,,,,GCA_902859605,,
168915,,"LMG 30378, CCUG 71558",1,"Achromobacter veterisilvae",2069367.3,LT976503,67.2
,,,,,GCA_900496975,,
,,,,,UFQC01000000,,
297,KM543,"DSM 2402, ATCC 27061, DSM 10346, NRRL 84082, CCUG 56438, CIP 71.32, NCTC 10807, LMG 1863, CCM 2741, IFO 15126, NCIMB 12033, JCM 9659, CCUG 12689, CECT 467, CECT 927, IAM 12684, NBRC 15126, NRRL B-4082, NCIB 12033",1,"Achromobacter xylosoxidans subsp. xylosoxidans",1216976.3,AB680773,57.6
,,,,,1216976.8,D88005,69.2
,,,,,2558309085,DQ235080,
,,,,,2667527485,FM999735,
,,,,,2731957707,JQ746428,
,,,,,85698.244,Y14908,
,,,,,85698.28,,
,,,,,GCA_000508285,,
,,,,,GCA_001457475,,
,,,,,GCA_001598595,,
17960,,"DSM 2784, Glu 65, CIP 106102",1,"Acidaminobacter hydrogenoformans",1120920.3,AF016691,48.1
,,,,,2599185234,,
,,,,,GCA_900103005,,
98,VR4,"CCUG 9996, CIP 106432, DSM 20731, ATCC 25085",1,"Acidaminococcus fermentans",591001.17,X65935,56.6
,,,,,591001.18,X78017,
,,,,,591001.3,,
,,,,,646311901,,
,,,,,GCA_000025305,,
,,,,,GCA_020735645,,
99,,"DSM 21505, CCUG 50930, CIP 108586, KCTC 15229, ADV 255.99, AIP 283.01",1,"Acidaminococcus intestini",1120921.3,AF473835,49.3
,,,,,2524614855,NR_041894,
,,,,,GCA_000425045,,
16643,,"DSM 3772, JCM 9191, LEI 10",1,"Acidianus ambivalens",GCA_009428885,D85506,32.7
,,,,,GCA_009729015,X90484,
16640,,"DSM 1651, IFO 15269, NBRC 15269",1,"Acidianus brierleyi",41673.4,D26489,31.0
,,,,,GCA_003201835,X90477,
16642,So4a,"DSM 3191, NBRC 106462, JCM 8955, IFO 15270, NBRC 15270",1,"Acidianus infernus",GCA_009729545,D85505,31
,,,,,,X89852,31.0
,,,,,,,33
16644,JP7,"DSM 18786, JCM 13667",1,"Acidianus sulfidivorans",619593.4,AY907891,31.1
,,,,,GCA_003201765,,
164161,,"JCM 31945",0,"Ferroacidibacillus organovorans",GCA_001602485,AY040739,52
,,,,,GCA_001642725,,
164162,,"JCM 31946",0,"Sulfoacidibacillus thermotolerans",GCA_003144315,KP860945,46
166226,G45-3,"CGMCC 1.16069, KCTC 62275",1,"Acidibrevibacterium fodinaquatile",2841042143,KY777995,65.9
,,,,,GCA_003352165,,
133383,SK-11,"DSM 100508, NBRC 111227",1,"Acidicapsa acidisoli",GCA_025685625,LC027464,56.9
159709,4GSKX,"CGMCC 1.15449, LMG 29213",1,"Acidicapsa dinghuensis",GCA_025685685,MF150300,52.8
143,WH120,"DSM 25248, LMG 26244, NCCB 100371, VKM B-2677",1,"Acidicapsa ligni",GCA_025685655,EU780204,51.7
169365,INE,"DSM 29876, JCM 30553",1,"Acididesulfobacillus acetoxydans",GCA_900016645,LN551924,53.7
158294,SPIII/3,"DSM 27195",0,"Acidiferrobacter sp.",1281578.45,KC128649,64.2
,,,,,2833647300,,
,,,,,GCA_003184265,,
4303,m-1,"DSM 2392, JCM 17358",1,"Acidiferrobacter thiooxydans",163359.15,AF387301,63.1
,,,,,GCA_003333315,AH001796,63.1±0.4
,,,,,,AJ459800,65
,,,,,,,65.0
6149,V6,"DSM 14174, JCM 32253",1,"Acidihalobacter aeolianus",160660.18,CP017448,62.2
,,,,,160660.9,EU653290,
,,,,,GCA_001753165,,
24820,V8,"DSM 14175, JCM 32254",1,"Acidihalobacter ferrooxydans",1765967.4,KU213664,61.6
,,,,,2751185721,,
,,,,,GCA_001975725,,
6148,LM3,"DSM 5130, JCM 30709",1,"Acidihalobacter prosperus",160660.4,AY034139,64.0
,,,,,2648501264,EU653291,64.4
,,,,,GCA_000754095,,
160601,F5,"DSM 105917, JCM 32255",1,"Acidihalobacter yilgarnensis",GCA_001753245,KX250214,59.9
17800,345-15,"DSM 16705, JCM 18335, VKM B-2471",1,"Acidilobus saccharovorans",648028003,AY350586,54.5
,,,,,666510.18,,
,,,,,GCA_000144915,,
164656,,"JCM 33804, MCCC 1K03817",1,"Acidiluteibacter ferrifornacis",GCA_009909615,MN240441,35.6
166169,MS2-2,"MCCC 1K02682, NBRC 112978",1,"Acidimangrovimonas sediminis",2833082749,KX099618,67.9
,,,,,GCA_002871005,,
106,ICP,"DSM 10331, NBRC 103882, JCM 15462",1,"Acidimicrobium ferrooxidans",525909.11,U75647,67-68.5
,,,,,525909.36,,67.3
,,,,,525909.37,,68.29
,,,,,525909.38,,
,,,,,525909.39,,
,,,,,525909.40,,
,,,,,525909.41,,
,,,,,525909.42,,
,,,,,644736322,,
,,,,,GCA_000023265,,
31,,"DSM 11245, JCM 8867, NBRC 100785, NBRC 100883",1,"Acidiphilium multivorum",62140.4,AB006711,67.6
,,,,,GCA_000202835,NR_074327,
,,,,,GCA_000964345,,
158200,JA12-A1,"DSM 100189",0,"Acidiphilium sp.",1464546.3,JFHO01000234,66.9
,,,,,2571042905,NZ_JFHO01000234,
,,,,,GCA_000724705,,
5459,V,"DSM 18409, JCM 14615",1,"Acidiplasma aeolicum",2681813050,AM943980,36
,,,,,507754.4,,
,,,,,GCA_001399695,,
5460,BH2,"DSM 16651, JCM 13668",1,"Acidiplasma cupricumulans",1295373.3,AY907888,34
,,,,,2654587522,,34.0
,,,,,2681813016,,
,,,,,GCA_001316225,,
,,,,,GCA_001402935,,
12633,"14X, 0179","DSM 4900, ATCC 25562, VPI 0399, CIP 103025, NCIMB 11858",1,"Acidipropionibacterium acidipropionici",1111734.3,AY883042,66.0
,,,,,2513237117,,
,,,,,GCA_000427845,,
12634,4,"DSM 20272, ATCC 4875, NCDO 570, NCIB 8070, JCM 6432, IFO 12425, NBRC 12425, NCIMB 8070, VPI 10402, CIP 53.164",0,"Acidipropionibacterium acidipropionici",1171373.8,AB536774,66
,,,,,2518285597,X53221,66.0
,,,,,2521172602,,
,,,,,GCA_000310065,,
12651,29,"CCUG 48883, CIP 103028, NCIMB 8071, DSM 20535, ATCC 4868, NCDO 850, NCIB 8071",1,"Acidipropionibacterium jensenii",1122997.3,AJ704571,66.0
,,,,,2523533551,AM412523,
,,,,,GCA_000425285,AY883044,
,,,,,,X53219,
12654,15,"DSM 20276, ATCC 4874, CCM 1865, CCUG 28149, HAMBI 247, JCM 6437, LMG 16455, NCDO 568, NCIB 5966, CGMCC 1.2228, CIP 103029, LMG 16731, NCIMB 5966, VPI 0412, VTT E-79095",1,"Acidipropionibacterium thoenii",1122998.3,AF218435,66
,,,,,2523231069,AJ132324,66.0
,,,,,GCA_000423445,AJ704572,
,,,,,,AY883045,
,,,,,,X53220,
158421,JS278,"DSM 106790, VTT E-113202",1,"Acidipropionibacterium virtanenii",2834914592,MG596783,68.4
,,,,,GCA_003325455,,
168482,"HW T5.17, UBOCC-M-3365","DSM 111007, UBOCC M-3365",1,"Acidisoma cellulosilyticum",GCA_020621385,MW463051,62.32
168457,"HW T2.11, UBOCC-M-3364","UBOCC M-3364, DSM 111006",1,"Acidisoma silvae",GCA_020618775,MW463052,62.5
67,HS-AP3,"DSM 16009, JCM 10600",1,"Acidisphaera rubrifaciens",1231350.12,D86512,69.1-69.8
,,,,,GCA_000964365,,69.3
17890,IC-180,"DSM 45281, JCM 15389",1,"Aciditerrimonas ferrireducens",1294026.5,AB517669,74.1
,,,,,2728369701,,
,,,,,GCA_001311945,,
128,,"DSM 14366, ATCC 35403",1,"Acidithiobacillus albertensis",119978.4,AJ459804,61.5
,,,,,2751185777,KF537578,
,,,,,GCA_001931655,,
126,KU,"DSM 8584, ATCC 51756",1,"Acidithiobacillus caldus",2811995294,AF512808,63.9
,,,,,637389.17,Z29975,
,,,,,637389.18,,
,,,,,637389.19,,
,,,,,637389.29,,
,,,,,637389.3,,
,,,,,GCA_000175575,,
,,,,,GCA_018853545,,
,,,,,GCA_018853615,,
160797,MG,"DSM 107098, JCM 33084",1,"Acidithiobacillus ferrianus",2895580592,MG062778,58.2
,,,,,GCA_010378095,MN733279,
130138,11Fe,"DSM 29468, ATCC 33020, JCM 18981",1,"Acidithiobacillus ferridurans",1232575.20,AB189136,58
,,,,,1232575.4,AJ278719,
,,,,,1232575.7,AJ278724,
,,,,,2824077352,FN686779,
,,,,,GCA_003966655,,
,,,,,GCA_018854555,,
132357,M20,"DSM 100412, JCM 30830",1,"Acidithiobacillus ferriphilus",1689834.8,KR905751,57.4
,,,,,GCA_018854775,,
129,NO-37,"DSM 22755, JCM 15606",1,"Acidithiobacillus ferrivorans",160808.74,AF376020,55.5
,,,,,GCA_018853935,,
119,SS3,"DSM 17398",0,"Acidithiobacillus ferrivorans",2510436001,NR_074660,56.6
,,,,,743299.4,,
,,,,,GCA_000214095,,
118,TM,"DSM 14882, ATCC 23270, NCIMB 8455",1,"Acidithiobacillus ferrooxidans",243159.4,AB189135,58-59
,,,,,643348501,AF329205,58.8
,,,,,GCA_000021485,AF465604,
,,,,,,AF512809,
,,,,,,AF512810,
,,,,,,AH001792,
,,,,,,AJ278718,
,,,,,,EF059763,
,,,,,,EF059764,
,,,,,,EF059765,
111,,"DSM 583",0,"Acidithiobacillus ferrooxidans",1232575.21,FN811931,58.0
,,,,,GCA_018854535,,
159192,CJ-2,"DSM 105150, KCTC 4683",1,"Acidithiobacillus sulfuriphilus",1867749.3,KX426303,61.5
,,,,,2840828123,MK193868,
,,,,,GCA_003721225,,
125,3/TA,"DSM 14887, ATCC 19377, JCM 3867, NCIMB 8343, CIP 104597, IAM 12134",1,"Acidithiobacillus thiooxidans",2510461056,AB189141,52
,,,,,637390.18,AF512812,52.1
,,,,,637390.19,AH001789,
,,,,,637390.5,AJ459803,
,,,,,GCA_000227215,AY552087,
,,,,,GCA_006718285,EF059790,
,,,,,GCA_009662475,Y11596,
121,,"DSM 504, ATCC 8085, IFO 12544, NBRC 12544, NCIMB 9112, JCM 3866, IAM 12133",0,"Acidithiobacillus thiooxidans",930.107,KX894721,53
,,,,,GCA_018854645,X98209,53.0
159490,Py-F3,"DSM 28176, JCM 19728",1,"Acidithrix ferrooxidans",1280514.4,KC208497,57.4
,,,,,2585428127,,
,,,,,GCA_000949295,,
133033,PMMR2,"DSM 27394, LMG 28340",1,"Acidobacterium ailaaui",2558860986,KX306477,52.7
,,,,,GCA_000688455,,56.5
,,,,,,,57.2
131,161,"DSM 11244, ATCC 51196, JCM 7670, NCIMB 13165, BCRC 80197, IFO 15755, NBRC 15755",1,"Acidobacterium capsulatum",240015.3,D26171,59.9-60.8
,,,,,643692001,NR_043386,60
,,,,,GCA_000022565,NR_074106,
32,,"DSM 11237, ATCC 51361, JCM 8796",1,"Acidocella aminolytica",1120923.5,D30771,58.7
,,,,,1120923.7,,59.1
