"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."
"When using BacDive for research please cite our paper https://doi.org/10.1093/nar/gkae959"

ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number","PH range",pH,"Salt conc."
159707,A251,"CGMCC 4.7421, JCM 32178",1,"Actinocorallia populi",2866127916,alkaliphile,6-11,0-3
,,,,,GCA_002995495,,,
132668,MI503-A4,"DSM 45934, NBRC 109632",1,"Actinocrispum wychmicini",1213861.3,alkaliphile,5.0-9.0,0
,,,,,2799112271,,,0.0-3.0
,,,,,GCA_004345645,,,
24443,44EHW,"DSM 46700, BCC 53155, NBRC 108932",1,"Actinokineospora bangkokensis",2865852738,alkaliphile,04-11,01-03
,,,,,GCA_001940455,,,
16996,3-46-b(3),"DSM 45347, JCM 13933, MTCC 8057",1,"Actinomadura bangladeshensis",2866640805,alkaliphile,05-09,4
,,,,,453573.3,,,
,,,,,GCA_004348335,,,
158480,LHW63021,"DSM 106125, CCTCC AA 2018015",1,"Actinomadura craniellae",2856664274,alkaliphile,6-9,0-2.5
,,,,,GCA_003289645,,,0-4
17005,A8036,"DSM 45508, KCTC 19868, JCM 19952",1,"Actinomadura geliboluensis",GCA_005889745,alkaliphile,05-11,0-2.5
,,,,,,,,0-5
159574,NEAU-G17,"DSM 105122, CGMCC 4.7411",1,"Actinomadura logoneensis",2841009013,alkaliphile,5.0-10.0,0-4.0
,,,,,GCA_003428695,,,0-5
164563,LD22,"JCM 33455, CCTCC AA 2018050",1,"Actinomadura physcomitrii",2898562265,acidophile,4.0-8.0,0.0-2.0
,,,,,GCA_008923205,,,
166237,,"LMG 30035, CECT 9808, ATCC 53664",1,"Actinomadura roseirufa",111802.3,acidophile,4.0-8.0,0.0-3.0
,,,,,2094049.3,,,
,,,,,GCA_900659635,,,
17003,CS5-AC15,"DSM 45251, KCTC 19559",1,"Actinomadura rupiterrae",2863206357,alkaliphile,05-11,<1
,,,,,GCA_024172125,,,
166249,2129,"CGMCC 4.7483, DSM 106426",1,"Actinomyces lilanjuaniae",GCA_003606385,alkaliphile,7-9,0.5-5
,,,,,,,,3
140287,VUL7,"DSM 103437, CGMCC 4.7366",1,"Actinomyces vulturis",2791355098,alkaliphile,4-11,0-4
,,,,,GCA_001687305,,,
159747,"A-T 8314","TBRC 5722, NBRC 113235",1,"Actinomycetospora endophytica",GCA_021026375,acidophile,4-6,0.5-8
132566,MB20,"DSM 46746, CECT 8960",1,"Actinophytocola algeriensis",1768010.3,alkaliphile,6-9,0-2
,,,,,1768010.4,,,0-4
,,,,,2863340477,,,
,,,,,2870820038,,,
,,,,,GCA_014203735,,,
,,,,,GCA_014874055,,,
13512,,"DSM 45499, BCC 31372, NBRC 105245, JCM 17236, TBRC 158",1,"Actinophytocola oryzae",2728369520,alkaliphile,05-10,0
,,,,,502181.3,,,<2
,,,,,GCA_004364325,,,
7847,A4029,"DSM 45518, KCTC 19984, NRRL B-24835, JCM 19953, NBRC 110796",1,"Actinoplanes abujensis",2870584755,alkaliphile,05-09,0-3
,,,,,882441.3,,,
,,,,,882441.4,,,
,,,,,GCA_014204895,,,
,,,,,GCA_016861995,,,
23114,Y16,"DSM 45850, CGMCC 4.6857, JCM 17700",1,"Actinoplanes atraurantiacus",1036182.3,alkaliphile,06-09,0
,,,,,2675903134,,,<3
,,,,,GCA_900215205,,,
130440,"A-T 6646","DSM 46706, BCC 46194, NBRC 109076",1,"Actinoplanes siamensis",1223317.3,alkaliphile,06-11,0-1
,,,,,GCA_016862395,,,
164277,,"JCM 32512, CGMCC 4.7580, LAM 7112",1,"Actinoplanes solisilvae",GCA_003999975,alkaliphile,5-10,0-10
,,,,,,,,3
7844,MN07-A0371,"DSM 45572, NBRC 105297, VTCC D9-10",1,"Actinoplanes tereljensis",2919860931,alkaliphile,06-09,0
,,,,,571912.3,,,<3
,,,,,GCA_016862435,,,
7845,MN07-A0368,"DSM 45573, NBRC 105298, VTCC D9-11",1,"Actinoplanes toevensis",571911.3,alkaliphile,06-11,<2
,,,,,GCA_018332695,,,
7843,03-8772,"DSM 45184, CCM 7527, KCTC 19461, JCM 16606, NBRC 106528",1,"Actinoplanes xinjiangensis",2695420963,alkaliphile,6.5-8.5,0-7
,,,,,512350.3,,,
,,,,,512350.4,,,
,,,,,GCA_003148685,,,
,,,,,GCA_016862475,,,
24729,,"DSM 46731, CCTCC AA 2012020, KCTC 19657, TRM 40139, JCM 31477",1,"Actinopolyspora lacussalsi",2923466178,alkaliphile,6.0-9.0,10-20
,,,,,,,,12
133106,EBR-4-2,"KCTC 33604, JCM 30447",1,"Actinotalea caeni",1348467.3,alkaliphile,6.0-9.0,1.0-8.0
,,,,,2890385099,,,3.0-5.0
,,,,,GCA_009733795,,,
159835,J103,"DSM 104434, MCCC 1K03288",1,"Acuticoccus kandeliae",2073160.3,alkaliphile,6.0-9.0,0.5-5.0
,,,,,2832851782,,,1.0-2.0
,,,,,GCA_003073115,,,
166457,PTG4-2,"MCCC 1A01274, KCTC 52323",1,"Acuticoccus sediminis",2889575115,alkaliphile,6-10,1-9
,,,,,GCA_003258595,,,3
133587,6515J-31,"KACC 14117, NBRC 106133",1,"Adhaeribacter aerolatus",670289.3,alkaliphile,6.5-9,0-1.5
,,,,,GCA_007991635,,,
132905,M-07,"DSM 104993, JCM 17746, KCTC 23732",1,"Advenella faeciporci",797535.4,alkaliphile,05-11,0-4
,,,,,GCA_014652395,,,
166411,,"KACC 15529, NBRC 108213, IMCC 3088",1,"Aequoribacter fuscus",GCA_009910365,alkaliphile,6-8.5,0.5-6
,,,,,,,,3.5
140229,D-24,"DSM 101732, KCTC 42708",1,"Aequorivita aquimaris",2608642109,alkaliphile,5.0-9.0,0-9
,,,,,GCA_001573155,,,2-6
5479,A71,"DSM 23843, JCM 15070, KCTC 22183",1,"Aequorivita capsosiphonis",1120951.3,alkaliphile,07-09,<10
,,,,,2524023070,,,
,,,,,GCA_000429125,,,
24014,8-1b,"DSM 26349, CGMCC 1.11023, JCM 18497",1,"Aequorivita viscosa",2622736533,alkaliphile,6.0-9.5,0.5-8
,,,,,2667527447,,,2
,,,,,797419.3,,,
,,,,,797419.4,,,
,,,,,GCA_900106795,,,
,,,,,GCA_900141955,,,
158560,N.8,"KCTC 33824, JCM 31580",1,"Aeribacillus composti",1868734.3,alkaliphile,5.5-10,2-9
,,,,,2802428823,,,6
,,,,,GCA_007827555,,,
227,1821/02,"DSM 21500, CCUG 52530, CECT 7139, JCM 18035, CIP 109714",1,"Aerococcus suis",2622736423,alkaliphile,9.6,6.5
,,,,,371602.3,,,
,,,,,GCA_900176325,,,
133328,9H-4,"ZIM B1021, LMG 29165, CCM 8650, JCM 32379",1,"Aeromicrobium choanae",2708742384,alkaliphile,6.0-10.0,5
,,,,,GCA_900167475,,,
11064,"TYLN1, TYLNI","DSM 19355, CCTCC AB 206046, JCM 16538, NBRC 107625, CIP 110459",1,"Aeromicrobium flavum",416568.3,alkaliphile,05-10,01-02
,,,,,GCA_007992115,,,01-04
11062,,"DSM 22238, JCM 14732, KCTC 19207, GBS 39, Gsoil 098",1,"Aeromicrobium ginsengisoli",2866597551,alkaliphile,5-8.5,03-04
,,,,,363867.3,,,3
,,,,,GCA_004134905,,,
11063,SSW1-57,"DSM 19087, JCM 13811, NRRL B-24466, CIP 109549",1,"Aeromicrobium tamlense",2833982808,alkaliphile,5.1-10.1,0-5
,,,,,375541.3,,,2.5
,,,,,GCA_013408555,,,
280,868E,"DSM 19111, CECT 7113, LMG 23376, CIP 109539",1,"Aeromonas bivalvium",2639762879,alkaliphile,9.0,3
,,,,,440079.3,,,6
,,,,,GCA_000819765,,,7
258,"S181, S-181","DSM 11577, CECT 4342, LMG 16330, CIP 104608, ATCC 51929",1,"Aeromonas encheleia",2639762835,alkaliphile,9.0,3
,,,,,73010.3,,,
,,,,,GCA_000819825,,,
283,717,"DSM 23621, CECT 7401, LMG 24681, CIP 110205",1,"Aeromonas fluvialis",2639762841,alkaliphile,9,6
,,,,,591962.3,,,
,,,,,GCA_000819885,,,
262,"848T, 848","DSM 17090, CECT 5864, LMG 22214, CCUG 50741, CIP 108676",1,"Aeromonas molluscorum",2534681676,alkaliphile,9,3
,,,,,,,,6
288,WB4.1-19,"DSM 22539, CECT 7518, MDC 2511, CIP 110301",1,"Aeromonas rivuli",2645728067,alkaliphile,8.7-9.0,3
,,,,,648794.3,,,
,,,,,GCA_000820045,,,
286,A2-67,"DSM 24094, CECT 7402, LMG 24682, CIP 110203",1,"Aeromonas sanarellii",2639763092,alkaliphile,9.0,6
,,,,,633415.3,,,
,,,,,GCA_000820085,,,
285,A2-50,"DSM 24096, CECT 7403, LMG 24683, CIP 110204",1,"Aeromonas taiwanensis",2585427983,alkaliphile,8.5-9.5,6
,,,,,2651869660,,,
,,,,,633417.3,,,
,,,,,633417.4,,,
,,,,,GCA_000699185,,,
,,,,,GCA_000820165,,,
437,JC2043,"DSM 15266, KCTC 12043, IMSNU 14007, CIP 108412",1,"Aestuariibacter halophilus",GCA_020687825,alkaliphile,6-11,0
,,,,,,,,0.5-11
,,,,,,,,1-8
,,,,,,,,10
,,,,,,,,2
,,,,,,,,2-3
,,,,,,,,4
,,,,,,,,5-6
,,,,,,,,6
,,,,,,,,8
438,JC2042,"DSM 15300, KCTC 12042, IMSNU 14006, CIP 108413",1,"Aestuariibacter salexigens",1120953.3,alkaliphile,6-11,0
,,,,,2524614540,,,0-4
,,,,,GCA_000429145,,,1-10
,,,,,,,,10
,,,,,,,,2-6
,,,,,,,,6
,,,,,,,,8
13876,AR2102,"DSM 17143, ATCC BAA-1145",1,"Afifella pfennigii",1120956.3,alkaliphile,6.3-8.5,0-5
,,,,,2556921008,,,01-02
,,,,,GCA_000688515,,,
133571,"CC-SBABM117, SBABM117","BCRC 17964, CCM 7684, DSM 22517",1,"Agaricicola taiwanensis",591372.3,alkaliphile,06-09,01-04
,,,,,GCA_014635245,,,02-03
141010,"17, 017","KCTC 42584, MCCC 1H00123",1,"Agarilytica rhodophyticola",GCA_002157225,alkaliphile,6.5-8.5,2-4
,,,,,,,,3
132992,hydD622,"DSM 105029, CGMCC 1.12692, KCTC 32543",1,"Agarivorans aestuarii",1563703.3,alkaliphile,5-9,1-7
,,,,,GCA_019670125,,,2-3
22908,WH0801,"DSM 26780, CGMCC 1.10131, NRRL B-59247",1,"Agarivorans gilvus",680279.10,alkaliphile,6.5-9.5,3
,,,,,GCA_001420915,,,
,,,,,GCA_014636215,,,
164183,MO-CFX2,"JCM 32065, KCTC 15625",1,"Aggregatilinea lenta",913108.7,alkaliphile,5.5-8.5,0-30
,,,,,GCA_003569045,,,5
7258,SSW1-48,"DSM 22002, JCM 14256, KCTC 19198",1,"Agrococcus jejuensis",2634166279,alkaliphile,6.1-12.1,0-3
,,,,,399736.3,,,
,,,,,GCA_900099705,,,
7255,K22-21,"DSM 17612, MTCC 7154, JCM 14301, CGMCC 1.7259, CGMCC 1.8869, NCIMB 14388, CIP 109379",1,"Agrococcus lahaulensis",1120958.3,alkaliphile,06-10,0-7
,,,,,2524023149,,,
,,,,,GCA_000425105,,,
24181,DNG5,"DSM 28114, CGMCC 1.6960, JCM 17488, NBRC 104260",1,"Agrococcus terreus",574649.3,alkaliphile,5.5-9,0-4
,,,,,GCA_014645235,,,1
7281,P27,"DSM 23870, JCM 15913, KCTC 19593",1,"Agromyces atrinae",2844837950,alkaliphile,06-10,0-4
,,,,,592376.3,,,2
,,,,,592376.5,,,2.5
,,,,,GCA_004134805,,,
,,,,,GCA_013407835,,,
7275,"CD 5, CD5","DSM 16389, NBRC 109085, NCIMB 14012, HKI 0327, JCM 14319, CIP 108741, IAM 15274",1,"Agromyces humatus",GCA_021228295,alkaliphile,5-9.5,1
,,,,,,,,<2
7276,CD1,"DSM 16388, NCIMB 14011, HKI 0325, JCM 14320, IAM 15273, CIP 108740",1,"Agromyces italicus",1120959.3,alkaliphile,5-9.5,2
,,,,,2524023150,,,<4
,,,,,279572.3,,,
,,,,,2895207311,,,
,,,,,GCA_000421545,,,
,,,,,GCA_009749375,,,
7274,CD55,"DSM 16390, NCIMB 14013, HKI 0324, JCM 14321, IAM 15275, CIP 108739",1,"Agromyces lapidis",279574.3,alkaliphile,5-9.5,2
,,,,,GCA_009749405,,,<4
7277,Z33,"DSM 16689, NCIMB 14025, HKI 0340, JCM 14324, IAM 15298, CIP 108957",1,"Agromyces subbeticus",1120960.3,alkaliphile,5-9.5,0-4
,,,,,2524023187,,,2
,,,,,GCA_000421565,,,
159616,SJ-23,"DSM 105049, CGMCC 4.7419",1,"Agromyces tardus",GCA_003710805,alkaliphile,6-10,0
,,,,,,,,0-5
7280,DS-10,"DSM 22016, JCM 14581, KCTC 19216",1,"Agromyces terreus",2844602033,alkaliphile,05-10,0-6
,,,,,GCA_009749465,,,0.75
,,,,,GCA_024172065,,,
132966,LZD062,"DSM 28886, JCM 30117, MCCC 1K00254",1,"Ahrensia marina",2654587732,alkaliphile,7-9,0-10
,,,,,GCA_001293565,,,2
6086,,"DSM 19219, CCTCC AB 207002, KCTC 12885, YIM 90637",1,"Aidingimonas halophila",2693429859,alkaliphile,05-09,01-25
,,,,,574349.3,,,05-10
,,,,,574349.7,,,
,,,,,GCA_014651655,,,
,,,,,GCA_900106955,,,
13844,DS2,"DSM 17890, KCTC 12586",1,"Albimonas donghaensis",2693429856,alkaliphile,6-9.5,0-14
,,,,,356660.7,,,3.5
,,,,,GCA_900106695,,,
133988,P-50-3,"KACC 16527, CGMCC 1.11030",1,"Albimonas pacifica",1114924.3,alkaliphile,6.0-9.5,0-12
,,,,,2667527406,,,2
,,,,,GCA_900113695,,,
133384,"AER 10, AER10","DSM 100498, KCTC 42688",1,"Alcaligenes endophyticus",GCA_026344035,alkaliphile,5.0-9.0,10
395,MACL04,"DSM 23776, CECT 5683, LMG 22508, CIP 109716",1,"Alcanivorax balearicus",GCA_025532145,alkaliphile,5.5-9,0-15
,,,,,,,,7.5
133431,A-11-3,"CGMCC 1.7084, LMG 24624, MCCC 1A01496",1,"Alcanivorax hongdengensis",1177179.3,alkaliphile,4.0-10.0,0.5-15
,,,,,2531839231,,,5.5
,,,,,GCA_000300995,,,
159770,SW127,"CGMCC 1.16233, KCTC 62652",1,"Alcanivorax indicus",2202653.3,alkaliphile,5.5-9,0.5-11
,,,,,2883121650,,,3-4
,,,,,GCA_003259185,,,
133994,R8-12,"MCCC 1A00382, LMG 24621, CCTCC AB 208234",1,"Alcanivorax marinus",GCA_025532125,alkaliphile,06-10,0.5-15
,,,,,,,,3
158801,MT13131,"MCCC 1A11581, KCTC 52985",1,"Alcanivorax mobilis",2838983600,alkaliphile,6.0-10.0,1-12
,,,,,GCA_002864685,,,3-4
140562,SK-16,"NBRC 110220, KCTC 32974",1,"Algibacter aquaticus",2791354951,alkaliphile,7-10,0-8
,,,,,GCA_001747085,,,2
5480,"M-3Alg 15-1","DSM 15365, KCTC 12103, KMM 3902, JCM 21761, IAM 15311, LMG 23347, LMG 22573, NBRC 100591",1,"Algibacter lectus",221126.12,alkaliphile,5.5-10,1-6
,,,,,2634166310,,,1.0-6.0
,,,,,GCA_900112395,,,3.5
166449,,"KCTC 62395, MCCC 1K03486, HHTR 118",1,"Algihabitans albus",GCA_003572205,alkaliphile,7-9,1
,,,,,,,,1-7
18152,DG1253,"DSM 24793, ATCC BAA-2243",1,"Algiphilus aromaticivorans",1415780.3,alkaliphile,6.5-8.5,0-12
,,,,,2574179776,,,3
,,,,,GCA_000733765,,,
133393,S2-A1,"KACC 18987, JCM 31546",1,"Algoriphagus aestuariicola",1852016.3,alkaliphile,6.0-10.0,0.0-4.0
,,,,,GCA_017254835,,,0.5-1.0
17702,T22,"DSM 17298, ATCC BAA-1189, NBRC 101277, JCM 18970",1,"Algoriphagus boritolerans",1120964.11,alkaliphile,6.5-10.0,0-3
,,,,,1120964.3,,,
,,,,,2599185235,,,
,,,,,2734481938,,,
,,,,,GCA_001313265,,,
,,,,,GCA_900108085,,,
17712,7-UAH,"DSM 19315, CCM 7449, CECT 7267",1,"Algoriphagus hitonicola",2622736517,alkaliphile,06-10,1.5-5
,,,,,435880.7,,,2.5
,,,,,GCA_900113375,,,
133329,S61,"DSM 102044, CCTCC AB 2015446",1,"Algoriphagus iocasae",1836499.3,alkaliphile,6.0-10.0,0.0-8.0
,,,,,2828441503,,,2
,,,,,GCA_014206875,,,
23439,PR1,"DSM 24695, ATCC BAA-2233",1,"Algoriphagus machipongonensis",640612202,alkaliphile,05-09,0-10
,,,,,GCA_000166275,,,3
140525,am2,"KCTC 52549, MCCC 1H00178",1,"Algoriphagus marinus",2791355058,alkaliphile,6.5-8.5,0-6
,,,,,GCA_001936475,,,1
133121,NH1,"MCCC 1H00140, KCTC 52228",1,"Algoriphagus resistens",2724679001,alkaliphile,5.5-8.5,0.0-8.0
,,,,,GCA_001442615,,,3
164064,M8-2,"JCM 31446, LMG 29969",1,"Algoriphagus sanaruensis",2667527547,alkaliphile,6.0-9.0,0.0-5.0
,,,,,GCA_001593605,,,
24720,12C11,"DSM 25035, CGMCC 1.11027, MCCC 1F01099",1,"Algoriphagus zhangzhouensis",1073327.4,alkaliphile,5.5-11,0-10
,,,,,1073327.6,,,4
,,,,,2617270825,,,
,,,,,2667528185,,,
,,,,,GCA_004366575,,,
,,,,,GCA_900148515,,,
498,AAM1,"DSM 23064, BCRC 17888, JCM 15522, JCM 31907",1,"Aliagarivorans marinus",1120969.3,alkaliphile,7.0-9.0,1.0-7.0
,,,,,2523533543,,,3
,,,,,GCA_000429485,,,
499,AAT1,"DSM 22990, BCRC 17889, JCM 15537",1,"Aliagarivorans taiwanensis",1120970.3,alkaliphile,7.0-9.0,1.0-7.0
,,,,,2524614757,,,3
,,,,,GCA_000429505,,,
429,3-A191,"DSM 17975, IAM 15224, JCM 21678, NBRC 103102",1,"Alicyclobacillus contaminans",1120971.3,acidophile,4-4.5,0-2
,,,,,2524023143,,,1
,,,,,GCA_000429525,,,
435,TC-34,"DSM 22381, CGMCC 1.6357, JCM 15090",1,"Alicyclobacillus ferrooxydans",2713896827,acidophile,02-06,0-3
,,,,,471514.4,,,
,,,,,GCA_001399675,,,
431,5-A83J,"DSM 17979, IAM 15227, JCM 21681, NBRC 103104",1,"Alicyclobacillus kakegawensis",1220571.3,acidophile,4.0-4.5,0-2
,,,,,2731957595,,,1
,,,,,GCA_001552655,,,
432,5A-239-2O-A,"DSM 17980, IAM 15370, JCM 21814",1,"Alicyclobacillus macrosporangiidus",2675903231,acidophile,4.0-4.5,0-5
,,,,,392015.5,,,2.5
,,,,,GCA_900116805,,,
428,RB-718,"DSM 17974, IAM 15230, JCM 21684, NBRC 103105",1,"Alicyclobacillus sacchari",2756170229,acidophile,4.0-4.5,0-2
,,,,,392010.3,,,1
,,,,,GCA_004366795,,,
433,4A-336,"DSM 17981, IAM 15226, JCM 21680, NBRC 103103",1,"Alicyclobacillus shizuokensis",1220573.3,acidophile,4.0-4.5,0-5
,,,,,2731957577,,,2.5
,,,,,GCA_001552255,,,
425,CsHg2,"DSM 16176",1,"Alicyclobacillus vulcanalis",252246.3,acidophile,2.0-6.0,1
,,,,,2681813550,,,<2
,,,,,GCA_900156755,,,
166424,F3105,"MCCC 1H00223, KCTC 52891",1,"Aliidiomarina celeris",2831692965,alkaliphile,6.5-9.5,1-8
,,,,,GCA_003316875,,,2-3
140844,GBPy7,"IBRC-M 10763, CECT 8339",1,"Aliidiomarina iranensis",2889949872,alkaliphile,7-10,1-15
,,,,,GCA_003987135,,,3
6238,CF12-14,"DSM 22154, CCTCC AB 208166, KACC 13974",1,"Aliidiomarina maris",GCA_003987335,alkaliphile,6.0-11.5,0.1-15.0
,,,,,,,,2-3
140532,GBSy1,"CECT 8340, IBRC-M 10764",1,"Aliidiomarina sedimenti",2890096513,alkaliphile,7-10,1-15
,,,,,GCA_003986955,,,5
133375,Y4G10-17,"CGMCC 1.15759, KCTC 52381",1,"Aliidiomarina soli",2890070066,alkaliphile,6.0-12.0,1.0-12.0
,,,,,GCA_003986975,,,4.0-6.0
133686,AIT1,"JCM 16052, BCRC 80035, NCCB 100321",1,"Aliidiomarina taiwanensis",2890094081,alkaliphile,07-09,0.5-10
,,,,,GCA_003987015,,,1.5-5.0
140832,2W32,"KCTC 42497, CICC 23869",1,"Fodinibius halophilus",2890260962,alkaliphile,7-8.5,2-18
,,,,,GCA_011059105,,,6-10
166301,WN023,"KCTC 52855, ACCC 19978",1,"Aliifodinibius salipaludis",GCA_002287075,alkaliphile,6.5-11.0,10.0-15.0
,,,,,,,,5.0-25.0
24788,,"DSM 21194, ACCC 10714, YIM J21, CECT 30753",1,"Fodinibius sediminis",1214077.3,alkaliphile,6.5-8.5,04-16
,,,,,2724679783,,,8
,,,,,GCA_900182555,,,
133419,E3,"CGMCC 1.7001, JCM 15139",1,"Aliiglaciecola lipolytica",2531839189,alkaliphile,07-09,0-1
,,,,,GCA_000314975,,,2
158280,,"DSM 104669, JCM 31859, JAM 119",1,"Aliiroseovarius lamellibrachiae",1924933.3,alkaliphile,6.0-8.5,3
,,,,,GCA_018599245,,,
443,BL06,"DSM 24290, JCM 15597, KCTC 22400, CGMCC 1.10668",0,"Alishewanella agri",1195246.3,alkaliphile,5.5-12,0-6
,,,,,2534682187,,,2
,,,,,GCA_000272005,,,
442,MS1,"DSM 24035, JCM 15561, KCTC 22429, CGMCC 1.10666",1,"Alishewanella jeotgali",1129374.4,alkaliphile,6.5-9.5,1
,,,,,2513237355,,,1.0-2.0
,,,,,GCA_000245735,,,
